Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),17125,21707,38832
 Associate Scrutiny Card (blue),25,11,36
 Naturalised Scrutiny Card (green),96,19,115
 National Registration Card (3-fold),94,96,190
 Religious card,110,146,256
 Temporary Registration Card (white),23,14,37
 Foreign Registration Card (FRC),3,-,3
 Foreign Passport,1,6,7
 None,4703,11682,16385
 Child under 10 years,4935,11390,16325
 Total,27115,45071,72186
AREA # 130252,Kholan(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5440,6994,12434
 Associate Scrutiny Card (blue),6,6,12
 Naturalised Scrutiny Card (green),33,13,46
 National Registration Card (3-fold),109,28,137
 Religious card,39,30,69
 Temporary Registration Card (white),16,54,70
 Foreign Passport,1,3,4
 None,2006,4521,6527
 Child under 10 years,1820,3540,5360
 Total,9470,15189,24659
AREA # 130253,Karli(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4501,8647,13148
 Associate Scrutiny Card (blue),8,-,8
 Naturalised Scrutiny Card (green),16,2,18
 National Registration Card (3-fold),33,24,57
 Religious card,25,74,99
 Temporary Registration Card (white),3,-,3
 Foreign Passport,4,1,5
 None,1821,10344,12165
 Child under 10 years,1368,4709,6077
 Total,7779,23801,31580
AREA # 130254,Minenaung(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2388,10176,12564
 Naturalised Scrutiny Card (green),4,31,35
 National Registration Card (3-fold),7,35,42
 Religious card,1,78,79
 Temporary Registration Card (white),-,9,9
 Foreign Passport,-,4,4
 None,837,9508,10345
 Child under 10 years,811,5975,6786
 Total,4048,25816,29864
AREA # 130255,Minesan(Monsan)(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1293,9829,11122
 Associate Scrutiny Card (blue),2,11,13
 Naturalised Scrutiny Card (green),14,197,211
 National Registration Card (3-fold),5,1492,1497
 Religious card,-,146,146
 Temporary Registration Card (white),7,274,281
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,-,3,3
 None,679,9716,10395
 Child under 10 years,475,5913,6388
 Total,2475,27582,30057
AREA # 130301,Linkhe`,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5383,18831,24214
 Associate Scrutiny Card (blue),-,8,8
 Naturalised Scrutiny Card (green),2,31,33
 National Registration Card (3-fold),20,157,177
 Religious card,50,190,240
 Temporary Registration Card (white),8,18,26
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,5,5
 None,246,3795,4041
 Child under 10 years,774,3962,4736
 Total,6484,26997,33481
AREA # 130302,Mone`,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7057,10433,17490
 Associate Scrutiny Card (blue),2,2,4
 Naturalised Scrutiny Card (green),5,19,24
 National Registration Card (3-fold),25,133,158
 Religious card,38,42,80
 Temporary Registration Card (white),4,73,77
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,-,8,8
 None,945,3881,4826
 Child under 10 years,1691,4279,5970
 Total,9767,18873,28640
AREA # 130303,Maukme`,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4112,13269,17381
 Associate Scrutiny Card (blue),-,9,9
 Naturalised Scrutiny Card (green),-,15,15
 National Registration Card (3-fold),2,20,22
 Religious card,34,129,163
 Temporary Registration Card (white),1,4,5
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,6,6
 None,366,7531,7897
 Child under 10 years,706,7605,8311
 Total,5222,28588,33810
AREA # 130304,Minepan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6752,7029,13781
 Associate Scrutiny Card (blue),-,11,11
 Naturalised Scrutiny Card (green),3,33,36
 National Registration Card (3-fold),40,79,119
 Religious card,27,58,85
 Temporary Registration Card (white),1,21,22
 Foreign Passport,-,4,4
 None,914,6486,7400
 Child under 10 years,1235,3233,4468
 Total,8972,16954,25926
AREA # 130351,Homane(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2061,1673,3734
 Naturalised Scrutiny Card (green),38,4,42
 National Registration Card (3-fold),6,5,11
 Religious card,15,4,19
 Temporary Registration Card (white),92,66,158
 Foreign Registration Card (FRC),1,-,1
 None,742,898,1640
 Child under 10 years,491,734,1225
 Total,3446,3384,6830
AREA # 130352,Kengtaung(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7011,467,7478
 Associate Scrutiny Card (blue),2,1,3
 Naturalised Scrutiny Card (green),4,1,5
 National Registration Card (3-fold),47,-,47
 Religious card,29,-,29
 Temporary Registration Card (white),25,1,26
 Foreign Passport,1,-,1
 None,1238,109,1347
 Child under 10 years,1634,226,1860
 Total,9991,805,10796
AREA # 130401,Lashio,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),105264,48652,153916
 Associate Scrutiny Card (blue),358,78,436
 Naturalised Scrutiny Card (green),1013,635,1648
 National Registration Card (3-fold),5556,9063,14619
 Religious card,1023,282,1305
 Temporary Registration Card (white),666,1071,1737
 Foreign Registration Card (FRC),78,9,87
 Foreign Passport,89,57,146
 None,31890,55944,87834
 Child under 10 years,28398,33279,61677
 Total,174335,149070,323405
AREA # 130402,Theinni,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6040,24105,30145
 Associate Scrutiny Card (blue),5,16,21
 Naturalised Scrutiny Card (green),33,123,156
 National Registration Card (3-fold),123,2110,2233
 Religious card,53,97,150
 Temporary Registration Card (white),60,740,800
 Foreign Registration Card (FRC),5,1,6
 Foreign Passport,1,1,2
 None,1195,9963,11158
 Child under 10 years,1637,10354,11991
 Total,9152,47510,56662
AREA # 130403,Mineye`,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4415,14139,18554
 Associate Scrutiny Card (blue),8,26,34
 Naturalised Scrutiny Card (green),17,174,191
 National Registration Card (3-fold),77,2595,2672
 Religious card,31,117,148
 Temporary Registration Card (white),14,122,136
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,1,4,5
 None,1239,23960,25199
 Child under 10 years,1243,11191,12434
 Total,7046,52330,59376
AREA # 130404,Tantyan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),16337,31559,47896
 Associate Scrutiny Card (blue),55,39,94
 Naturalised Scrutiny Card (green),212,593,805
 National Registration Card (3-fold),899,6201,7100
 Religious card,218,199,417
 Temporary Registration Card (white),57,199,256
 Foreign Registration Card (FRC),31,1,32
 Foreign Passport,6,29,35
 None,8763,67827,76590
 Child under 10 years,7025,32555,39580
 Total,33603,139202,172805
AREA # 130501,MuSe,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),50574,25006,75580
 Associate Scrutiny Card (blue),181,46,227
 Naturalised Scrutiny Card (green),423,259,682
 National Registration Card (3-fold),1865,2861,4726
 Religious card,150,197,347
 Temporary Registration Card (white),218,227,445
 Foreign Registration Card (FRC),20,4,24
 Foreign Passport,57,44,101
 None,8866,6806,15672
 Child under 10 years,11959,7744,19703
 Total,74313,43194,117507
AREA # 130502,Namkham,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),19643,37323,56966
 Associate Scrutiny Card (blue),94,23,117
 Naturalised Scrutiny Card (green),267,178,445
 National Registration Card (3-fold),489,1445,1934
 Religious card,93,222,315
 Temporary Registration Card (white),55,1223,1278
 Foreign Registration Card (FRC),4,26,30
 Foreign Passport,13,150,163
 None,4577,19334,23911
 Child under 10 years,5034,16841,21875
 Total,30269,76765,107034
AREA # 130503,Kukai,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),13289,24655,37944
 Associate Scrutiny Card (blue),67,36,103
 Naturalised Scrutiny Card (green),132,258,390
 National Registration Card (3-fold),937,4611,5548
 Religious card,21,93,114
 Temporary Registration Card (white),77,381,458
 Foreign Registration Card (FRC),22,10,32
 Foreign Passport,7,22,29
 None,5327,27404,32731
 Child under 10 years,5084,18901,23985
 Total,24963,76371,101334
AREA # 130551,Monekoe(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1518,1461,2979
 Associate Scrutiny Card (blue),7,7,14
 Naturalised Scrutiny Card (green),304,615,919
 National Registration Card (3-fold),1275,2407,3682
 Religious card,13,22,35
 Temporary Registration Card (white),1154,2010,3164
 Foreign Registration Card (FRC),3,29,32
 Foreign Passport,6,12,18
 None,2556,5667,8223
 Child under 10 years,2011,3488,5499
 Total,8847,15718,24565
AREA # 130552,Manhero(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1032,3618,4650
 Naturalised Scrutiny Card (green),-,12,12
 National Registration Card (3-fold),71,328,399
 Religious card,6,14,20
 Temporary Registration Card (white),-,3,3
 Foreign Registration Card (FRC),1,10,11
 None,105,510,615
 Child under 10 years,223,854,1077
 Total,1438,5349,6787
AREA # 130553,Pansai(KyuKute)(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3998,6031,10029
 Associate Scrutiny Card (blue),20,3,23
 Naturalised Scrutiny Card (green),148,50,198
 National Registration Card (3-fold),1162,808,1970
 Religious card,26,28,54
 Temporary Registration Card (white),260,427,687
 Foreign Registration Card (FRC),8,6,14
 Foreign Passport,3,8,11
 None,2077,3196,5273
 Child under 10 years,1828,2863,4691
 Total,9530,13420,22950
AREA # 130554,Tamoenye(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6395,11100,17495
 Associate Scrutiny Card (blue),-,24,24
 Naturalised Scrutiny Card (green),45,360,405
 National Registration Card (3-fold),1531,5832,7363
 Religious card,2,51,53
 Temporary Registration Card (white),11,699,710
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,1,13,14
 None,3779,25660,29439
 Child under 10 years,2911,14903,17814
 Total,14675,58643,73318
AREA # 130601,Kyukme,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),25469,48600,74069
 Associate Scrutiny Card (blue),305,62,367
 Naturalised Scrutiny Card (green),384,273,657
 National Registration Card (3-fold),711,1926,2637
 Religious card,221,256,477
 Temporary Registration Card (white),105,143,248
 Foreign Registration Card (FRC),70,19,89
 Foreign Passport,11,12,23
 None,6210,18928,25138
 Child under 10 years,6444,17411,23855
 Total,39930,87630,127560
AREA # 130602,Naungkhio,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12015,77333,89348
 Associate Scrutiny Card (blue),22,49,71
 Naturalised Scrutiny Card (green),52,399,451
 National Registration Card (3-fold),216,2140,2356
 Religious card,63,368,431
 Temporary Registration Card (white),30,354,384
 Foreign Registration Card (FRC),33,48,81
 Foreign Passport,1,96,97
 None,3070,25677,28747
 Child under 10 years,3320,24556,27876
 Total,18822,131020,149842
AREA # 130603,Hsipaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14170,58089,72259
 Associate Scrutiny Card (blue),70,60,130
 Naturalised Scrutiny Card (green),201,503,704
 National Registration Card (3-fold),363,4156,4519
 Religious card,200,341,541
 Temporary Registration Card (white),39,228,267
 Foreign Registration Card (FRC),33,19,52
 Foreign Passport,58,21,79
 None,2566,60235,62801
 Child under 10 years,3197,31609,34806
 Total,20897,155261,176158
AREA # 130604,Namtu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),8432,19772,28204
 Associate Scrutiny Card (blue),24,21,45
 Naturalised Scrutiny Card (green),215,370,585
 National Registration Card (3-fold),190,759,949
 Religious card,64,91,155
 Temporary Registration Card (white),19,89,108
 Foreign Registration Card (FRC),18,31,49
 Foreign Passport,12,3,15
 None,1958,7436,9394
 Child under 10 years,2366,8553,10919
 Total,13298,37125,50423
AREA # 130605,Namsan(North),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2666,35561,38227
 Associate Scrutiny Card (blue),87,41,128
 Naturalised Scrutiny Card (green),91,121,212
 National Registration Card (3-fold),27,555,582
 Religious card,58,458,516
 Temporary Registration Card (white),2,81,83
 Foreign Registration Card (FRC),19,16,35
 Foreign Passport,-,11,11
 None,518,15855,16373
 Child under 10 years,670,15367,16037
 Total,4138,68066,72204
AREA # 130606,Momeik,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6794,28988,35782
 Associate Scrutiny Card (blue),25,12,37
 Naturalised Scrutiny Card (green),35,54,89
 National Registration Card (3-fold),52,755,807
 Religious card,83,192,275
 Temporary Registration Card (white),8,85,93
 Foreign Registration Card (FRC),9,3,12
 Foreign Passport,1,10,11
 None,1594,12123,13717
 Child under 10 years,1659,10848,12507
 Total,10260,53070,63330
AREA # 130607,Mabane,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2549,27734,30283
 Associate Scrutiny Card (blue),-,13,13
 Naturalised Scrutiny Card (green),1,52,53
 National Registration Card (3-fold),5,99,104
 Religious card,23,139,162
 Temporary Registration Card (white),-,111,111
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,-,13,13
 None,247,7593,7840
 Child under 10 years,416,8402,8818
 Total,3241,44157,47398
AREA # 130608,Manton,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2388,10956,13344
 Associate Scrutiny Card (blue),24,47,71
 Naturalised Scrutiny Card (green),109,67,176
 National Registration Card (3-fold),86,407,493
 Religious card,2,58,60
 Temporary Registration Card (white),7,47,54
 Foreign Registration Card (FRC),5,1,6
 Foreign Passport,-,11,11
 None,643,13397,14040
 Child under 10 years,838,9508,10346
 Total,4102,34499,38601
AREA # 130651,Minengaw(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1522,8560,10082
 Associate Scrutiny Card (blue),22,5,27
 Naturalised Scrutiny Card (green),47,49,96
 National Registration Card (3-fold),22,287,309
 Religious card,7,93,100
 Temporary Registration Card (white),10,20,30
 Foreign Registration Card (FRC),9,-,9
 Foreign Passport,1,8,9
 None,357,3484,3841
 Child under 10 years,436,3962,4398
 Total,2433,16468,18901
AREA # 130652,Minelon(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1500,10840,12340
 Associate Scrutiny Card (blue),2,7,9
 Naturalised Scrutiny Card (green),20,25,45
 National Registration Card (3-fold),37,477,514
 Religious card,10,110,120
 Temporary Registration Card (white),7,25,32
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,1,15,16
 None,318,6673,6991
 Child under 10 years,453,5125,5578
 Total,2348,23300,25648
AREA # 130701,Kunlon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3097,18055,21152
 Associate Scrutiny Card (blue),4,56,60
 Naturalised Scrutiny Card (green),39,197,236
 National Registration Card (3-fold),302,7469,7771
 Religious card,21,76,97
 Temporary Registration Card (white),16,525,541
 Foreign Registration Card (FRC),4,22,26
 Foreign Passport,-,16,16
 None,954,13048,14002
 Child under 10 years,1112,13761,14873
 Total,5549,53225,58774
AREA # 130801,Laukine,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5530,5405,10935
 Associate Scrutiny Card (blue),8,11,19
 Naturalised Scrutiny Card (green),147,480,627
 National Registration Card (3-fold),5114,21969,27083
 Religious card,10,19,29
 Temporary Registration Card (white),825,239,1064
 Foreign Registration Card (FRC),1457,26,1483
 Foreign Passport,351,44,395
 None,5855,22863,28718
 Child under 10 years,4138,15470,19608
 Total,23435,66526,89961
AREA # 130802,Kongyan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),380,169,549
 Associate Scrutiny Card (blue),2,1,3
 Naturalised Scrutiny Card (green),4,82,86
 National Registration Card (3-fold),288,10612,10900
 Religious card,3,1,4
 Temporary Registration Card (white),8,27,35
 Foreign Passport,-,3,3
 None,264,12840,13104
 Child under 10 years,237,8851,9088
 Total,1186,32586,33772
AREA # 130851,Chinshwehaw(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1654,365,2019
 Naturalised Scrutiny Card (green),19,6,25
 National Registration Card (3-fold),296,485,781
 Religious card,15,-,15
 Temporary Registration Card (white),12,-,12
 Foreign Registration Card (FRC),96,1,97
 Foreign Passport,3,-,3
 None,481,450,931
 Child under 10 years,562,444,1006
 Total,3138,1751,4889
AREA # 130852,Mawhtike(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),93,446,539
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),26,43,69
 National Registration Card (3-fold),100,8910,9010
 Religious card,1,4,5
 Temporary Registration Card (white),-,17,17
 Foreign Registration Card (FRC),1,5,6
 Foreign Passport,33,41,74
 None,95,11156,11251
 Child under 10 years,75,5242,5317
 Total,424,25866,26290
AREA # 130901,Hopan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5418,5677,11095
 Associate Scrutiny Card (blue),2,23,25
 Naturalised Scrutiny Card (green),15,61,76
 National Registration Card (3-fold),1112,746,1858
 Religious card,27,59,86
 Temporary Registration Card (white),114,441,555
 Foreign Registration Card (FRC),-,16,16
 Foreign Passport,4,8,12
 None,6693,21431,28124
 Child under 10 years,3508,9539,13047
 Total,16893,38001,54894
AREA # 130902,Minemaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),337,630,967
 Associate Scrutiny Card (blue),67,36,103
 Naturalised Scrutiny Card (green),53,25,78
 National Registration Card (3-fold),2,3,5
 Religious card,2,-,2
 Temporary Registration Card (white),60,14,74
 Foreign Registration Card (FRC),10,-,10
 Foreign Passport,17,42,59
 None,3699,47243,50942
 Child under 10 years,1408,17035,18443
 Total,5655,65028,70683
AREA # 130903,Panwine,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),124,993,1117
 Associate Scrutiny Card (blue),-,66,66
 Naturalised Scrutiny Card (green),-,114,114
 National Registration Card (3-fold),-,1,1
 Religious card,-,1,1
 Temporary Registration Card (white),-,51,51
 Foreign Registration Card (FRC),-,6,6
 Foreign Passport,12,37,49
 None,2443,68095,70538
 Child under 10 years,857,24297,25154
 Total,3436,93661,97097
AREA # 130952,Panlon(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1359,1188,2547
 Associate Scrutiny Card (blue),2,2,4
 Naturalised Scrutiny Card (green),9,2,11
 National Registration Card (3-fold),84,44,128
 Religious card,6,12,18
 Temporary Registration Card (white),90,27,117
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,1,1
 None,1114,678,1792
 Child under 10 years,904,683,1587
 Total,3569,2637,6206
AREA # 131001,Makman,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),197,6409,6606
 Associate Scrutiny Card (blue),-,5,5
 Naturalised Scrutiny Card (green),1,15,16
 National Registration Card (3-fold),1,21,22
 Religious card,6,27,33
 Temporary Registration Card (white),1,3,4
 Foreign Passport,-,4,4
 None,38,7071,7109
 Child under 10 years,48,5885,5933
 Total,292,19440,19732
AREA # 131002,Pan San(Pan Kham),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2047,6583,8630
 Associate Scrutiny Card (blue),355,138,493
 Naturalised Scrutiny Card (green),31,71,102
 National Registration Card (3-fold),228,168,396
 Religious card,1,202,203
 Temporary Registration Card (white),168,408,576
 Foreign Registration Card (FRC),217,602,819
 Foreign Passport,4,202,206
 None,10618,57723,68341
 Child under 10 years,2267,22296,24563
 Total,15936,88393,104329
AREA # 131003,Naphang,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),11,906,917
 Associate Scrutiny Card (blue),-,18,18
 Naturalised Scrutiny Card (green),-,86,86
 National Registration Card (3-fold),-,3,3
 Religious card,-,6,6
 Temporary Registration Card (white),-,830,830
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,6,30,36
 None,782,83345,84127
 Child under 10 years,171,29984,30155
 Total,970,115210,116180
AREA # 131051,ManKan(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),230,454,684
 Naturalised Scrutiny Card (green),3,6,9
 National Registration Card (3-fold),12,37,49
 Religious card,1,2,3
 None,73,427,500
 Child under 10 years,100,298,398
 Total,419,1224,1643
AREA # 131101,Kengtung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),34428,79385,113813
 Associate Scrutiny Card (blue),119,43,162
 Naturalised Scrutiny Card (green),119,85,204
 National Registration Card (3-fold),113,300,413
 Religious card,243,334,577
 Temporary Registration Card (white),133,394,527
 Foreign Registration Card (FRC),25,4,29
 Foreign Passport,89,47,136
 None,2586,18427,21013
 Child under 10 years,6434,28312,34746
 Total,44289,127331,171620
AREA # 131102,Minekat,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2181,15275,17456
 Associate Scrutiny Card (blue),-,9,9
 Naturalised Scrutiny Card (green),-,25,25
 National Registration Card (3-fold),1,11,12
 Religious card,9,57,66
 Temporary Registration Card (white),4,75,79
 Foreign Registration Card (FRC),-,162,162
 Foreign Passport,-,10,10
 None,201,15977,16178
 Child under 10 years,431,10100,10531
 Total,2827,41701,44528
AREA # 131103,Mineyan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3732,11914,15646
 Associate Scrutiny Card (blue),-,40,40
 Naturalised Scrutiny Card (green),4,29,33
 National Registration Card (3-fold),5,160,165
 Religious card,38,37,75
 Temporary Registration Card (white),5,265,270
 Foreign Registration Card (FRC),1,204,205
 Foreign Passport,-,30,30
 None,343,24947,25290
 Child under 10 years,838,9999,10837
 Total,4966,47625,52591
AREA # 131104,Minelar,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6486,8093,14579
 Associate Scrutiny Card (blue),9,15,24
 Naturalised Scrutiny Card (green),23,8,31
 National Registration Card (3-fold),311,17,328
 Religious card,10,6,16
 Temporary Registration Card (white),426,107,533
 Foreign Registration Card (FRC),557,29,586
 Foreign Passport,5319,2474,7793
 None,5586,7582,13168
 Child under 10 years,1726,4284,6010
 Total,20453,22615,43068
AREA # 131151,Mine Pauk(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),-,4062,4062
 Associate Scrutiny Card (blue),-,28,28
 Naturalised Scrutiny Card (green),-,20,20
 National Registration Card (3-fold),-,8,8
 Religious card,-,9,9
 Temporary Registration Card (white),-,93,93
 Foreign Registration Card (FRC),-,168,168
 Foreign Passport,-,13,13
 None,-,38374,38374
 Child under 10 years,-,12279,12279
 Total,-,55054,55054
AREA # 131201,Minesat,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5866,27017,32883
 Associate Scrutiny Card (blue),1,59,60
 Naturalised Scrutiny Card (green),14,22,36
 National Registration Card (3-fold),28,47,75
 Religious card,37,65,102
 Temporary Registration Card (white),21,545,566
 Foreign Registration Card (FRC),1,3,4
 Foreign Passport,-,9,9
 None,716,28436,29152
 Child under 10 years,1320,22346,23666
 Total,8004,78549,86553
AREA # 131202,Minepyin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4887,19768,24655
 Associate Scrutiny Card (blue),3,6,9
 Naturalised Scrutiny Card (green),6,31,37
 National Registration Card (3-fold),10,38,48
 Religious card,18,95,113
 Temporary Registration Card (white),10,97,107
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,-,3,3
 None,650,14427,15077
 Child under 10 years,1257,12842,14099
 Total,6841,47308,54149
AREA # 131203,Minetung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4356,8053,12409
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),1,9,10
 National Registration Card (3-fold),6,14,20
 Religious card,25,33,58
 Temporary Registration Card (white),4,104,108
 None,467,3496,3963
 Child under 10 years,960,4464,5424
 Total,5819,16175,21994
AREA # 131251,Minekoke(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),994,8610,9604
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),2,3,5
 National Registration Card (3-fold),1,16,17
 Religious card,3,4,7
 Temporary Registration Card (white),1,11,12
 Foreign Registration Card (FRC),9,-,9
 Foreign Passport,-,2,2
 None,150,2777,2927
 Child under 10 years,281,5230,5511
 Total,1441,16655,18096
AREA # 131252,Tontar(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1557,6488,8045
 Associate Scrutiny Card (blue),-,1,1
 Naturalised Scrutiny Card (green),2,5,7
 National Registration Card (3-fold),2,50,52
 Religious card,5,4,9
 Temporary Registration Card (white),-,11,11
 Foreign Passport,-,1,1
 None,112,2457,2569
 Child under 10 years,387,3602,3989
 Total,2065,12619,14684
AREA # 131253,Ponparkyin(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2356,10944,13300
 Associate Scrutiny Card (blue),-,21,21
 Naturalised Scrutiny Card (green),1,19,20
 National Registration Card (3-fold),9,55,64
 Religious card,8,32,40
 Temporary Registration Card (white),25,430,455
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,-,34,34
 None,253,19448,19701
 Child under 10 years,549,9632,10181
 Total,3201,40618,43819
AREA # 131254,Monehta(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),219,532,751
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),-,3,3
 National Registration Card (3-fold),-,1,1
 Religious card,1,5,6
 Temporary Registration Card (white),1,93,94
 Foreign Passport,-,1,1
 None,119,2123,2242
 Child under 10 years,64,1112,1176
 Total,404,3872,4276
AREA # 131301,Tachileik,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),39022,63802,102824
 Associate Scrutiny Card (blue),91,25,116
 Naturalised Scrutiny Card (green),119,64,183
 National Registration Card (3-fold),276,321,597
 Religious card,180,374,554
 Temporary Registration Card (white),141,610,751
 Foreign Registration Card (FRC),33,4,37
