Activity_status,Sex_Male,Sex_Female,Sex_Total
 Contributing family worker,3738,5717,9455
 Sought work,137,63,200
 Did not seek work,39,15,54
 Full time student,1660,1697,3357
 Household work,291,2913,3204
" Pensioner, retired, elderly person",455,634,1089
" Ill, disabled",73,63,136
 Other,619,183,802
 Total,15910,17875,33785
NotApp :,8910,*,*
AREA # 130251,Panglong(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),726,455,1181
" Employee (Private, Org)",2046,782,2828
 Employer,283,127,410
 Own account worker,12006,8263,20269
 Contributing family worker,4667,9069,13736
 Sought work,501,349,850
 Did not seek work,100,30,130
 Full time student,3518,3301,6819
 Household work,211,4277,4488
" Pensioner, retired, elderly person",1157,1793,2950
" Ill, disabled",143,147,290
 Other,1641,269,1910
 Total,26999,28862,55861
NotApp :,16325,*,*
AREA # 130252,Kholan(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1576,176,1752
" Employee (Private, Org)",839,262,1101
 Employer,98,33,131
 Own account worker,3892,2261,6153
 Contributing family worker,1749,2665,4414
 Sought work,108,45,153
 Did not seek work,75,69,144
 Full time student,898,860,1758
 Household work,157,2129,2286
" Pensioner, retired, elderly person",316,513,829
" Ill, disabled",46,27,73
 Other,310,195,505
 Total,10064,9235,19299
NotApp :,5360,*,*
AREA # 130253,Karli(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1030,153,1183
" Employee (Private, Org)",549,253,802
 Employer,138,84,222
 Own account worker,5554,2590,8144
 Contributing family worker,2963,4809,7772
 Sought work,145,116,261
 Did not seek work,94,92,186
 Full time student,811,1029,1840
 Household work,198,2916,3114
" Pensioner, retired, elderly person",448,621,1069
" Ill, disabled",60,43,103
 Other,682,125,807
 Total,12672,12831,25503
NotApp :,6077,*,*
AREA # 130254,Minenaung(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),999,119,1118
" Employee (Private, Org)",435,187,622
 Employer,140,58,198
 Own account worker,4574,1892,6466
 Contributing family worker,2694,4457,7151
 Sought work,131,67,198
 Did not seek work,20,12,32
 Full time student,840,999,1839
 Household work,270,3240,3510
" Pensioner, retired, elderly person",360,620,980
" Ill, disabled",51,41,92
 Other,679,193,872
 Total,11193,11885,23078
NotApp :,6786,*,*
AREA # 130255,Minesan(Monsan)(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),273,84,357
" Employee (Private, Org)",4162,1143,5305
 Employer,133,56,189
 Own account worker,3990,2711,6701
 Contributing family worker,1571,2351,3922
 Sought work,56,35,91
 Did not seek work,63,8,71
 Full time student,1326,1306,2632
 Household work,96,2506,2602
" Pensioner, retired, elderly person",222,329,551
" Ill, disabled",41,42,83
 Other,708,457,1165
 Total,12641,11028,23669
NotApp :,6388,*,*
AREA # 130301,Linkhe`,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1100,440,1540
" Employee (Private, Org)",1443,982,2425
 Employer,871,374,1245
 Own account worker,5828,3978,9806
 Contributing family worker,1531,2209,3740
 Sought work,150,104,254
 Did not seek work,63,24,87
 Full time student,1063,1221,2284
 Household work,240,3468,3708
" Pensioner, retired, elderly person",961,1177,2138
" Ill, disabled",162,150,312
 Other,805,401,1206
 Total,14217,14528,28745
NotApp :,4736,*,*
AREA # 130302,Mone`,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),610,257,867
" Employee (Private, Org)",637,182,819
 Employer,199,117,316
 Own account worker,4690,2809,7499
 Contributing family worker,1855,2628,4483
 Sought work,208,103,311
 Did not seek work,43,37,80
 Full time student,1023,1182,2205
 Household work,177,2928,3105
" Pensioner, retired, elderly person",515,758,1273
" Ill, disabled",92,80,172
 Other,992,548,1540
 Total,11041,11629,22670
NotApp :,5970,*,*
AREA # 130303,Maukme`,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),374,225,599
" Employee (Private, Org)",812,333,1145
 Employer,186,114,300
 Own account worker,6101,4828,10929
 Contributing family worker,2573,3869,6442
 Sought work,117,85,202
 Did not seek work,21,13,34
 Full time student,1025,1048,2073
 Household work,60,1788,1848
" Pensioner, retired, elderly person",429,603,1032
" Ill, disabled",77,64,141
 Other,617,137,754
 Total,12392,13107,25499
NotApp :,8311,*,*
AREA # 130304,Minepan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1551,218,1769
" Employee (Private, Org)",1726,694,2420
 Employer,111,77,188
 Own account worker,4661,2905,7566
 Contributing family worker,1006,1654,2660
 Sought work,246,200,446
 Did not seek work,128,102,230
 Full time student,906,963,1869
 Household work,143,2207,2350
" Pensioner, retired, elderly person",439,452,891
" Ill, disabled",64,40,104
 Other,574,391,965
 Total,11555,9903,21458
NotApp :,4468,*,*
AREA # 130351,Homane(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),57,42,99
" Employee (Private, Org)",489,198,687
 Employer,44,23,67
 Own account worker,1371,882,2253
 Contributing family worker,414,476,890
 Sought work,74,52,126
 Did not seek work,81,80,161
 Full time student,138,131,269
 Household work,53,630,683
" Pensioner, retired, elderly person",64,101,165
" Ill, disabled",17,12,29
 Other,130,46,176
 Total,2932,2673,5605
NotApp :,1225,*,*
AREA # 130352,Kengtaung(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1009,134,1143
" Employee (Private, Org)",1041,201,1242
 Employer,100,51,151
 Own account worker,1690,521,2211
 Contributing family worker,235,329,564
 Sought work,75,25,100
 Did not seek work,23,10,33
 Full time student,269,381,650
 Household work,136,1942,2078
" Pensioner, retired, elderly person",155,208,363
" Ill, disabled",23,19,42
 Other,268,91,359
 Total,5024,3912,8936
NotApp :,1860,*,*
AREA # 130401,Lashio,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),6488,3824,10312
" Employee (Private, Org)",25366,11320,36686
 Employer,2310,987,3297
 Own account worker,41895,27069,68964
 Contributing family worker,9990,12140,22130
 Sought work,2834,1654,4488
 Did not seek work,895,483,1378
 Full time student,20443,22132,42575
 Household work,3098,40776,43874
" Pensioner, retired, elderly person",6759,9797,16556
" Ill, disabled",931,794,1725
 Other,6219,3524,9743
 Total,127228,134500,261728
NotApp :,61677,*,*
AREA # 130402,Theinni,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1503,507,2010
" Employee (Private, Org)",2320,935,3255
 Employer,569,211,780
 Own account worker,8900,4410,13310
 Contributing family worker,3475,4081,7556
 Sought work,356,142,498
 Did not seek work,63,24,87
 Full time student,2517,2959,5476
 Household work,336,6506,6842
" Pensioner, retired, elderly person",1082,1607,2689
" Ill, disabled",116,118,234
 Other,1236,698,1934
 Total,22473,22198,44671
NotApp :,11991,*,*
AREA # 130403,Mineye`,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),826,268,1094
" Employee (Private, Org)",888,342,1230
 Employer,245,82,327
 Own account worker,10895,5711,16606
 Contributing family worker,4622,6485,11107
 Sought work,221,181,402
 Did not seek work,105,43,148
 Full time student,1500,1618,3118
 Household work,253,7626,7879
" Pensioner, retired, elderly person",879,1149,2028
" Ill, disabled",138,136,274
 Other,1716,1013,2729
 Total,22288,24654,46942
NotApp :,12434,*,*
AREA # 130404,Tantyan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1525,561,2086
" Employee (Private, Org)",6563,3264,9827
 Employer,1162,641,1803
 Own account worker,26279,15741,42020
 Contributing family worker,13020,16999,30019
 Sought work,1055,846,1901
 Did not seek work,542,367,909
 Full time student,4478,5644,10122
 Household work,1678,18414,20092
" Pensioner, retired, elderly person",2659,3796,6455
" Ill, disabled",294,323,617
 Other,5002,2372,7374
 Total,64257,68968,133225
NotApp :,39580,*,*
AREA # 130501,MuSe,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1233,916,2149
" Employee (Private, Org)",18363,6324,24687
 Employer,1292,664,1956
 Own account worker,15495,11125,26620
 Contributing family worker,3159,10074,13233
 Sought work,871,567,1438
 Did not seek work,176,128,304
 Full time student,6305,6132,12437
 Household work,549,6707,7256
" Pensioner, retired, elderly person",1689,2976,4665
" Ill, disabled",174,162,336
 Other,1558,1165,2723
 Total,50864,46940,97804
NotApp :,19703,*,*
AREA # 130502,Namkham,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),745,779,1524
" Employee (Private, Org)",7250,4501,11751
 Employer,782,431,1213
 Own account worker,9943,8113,18056
 Contributing family worker,10590,13306,23896
 Sought work,643,523,1166
 Did not seek work,126,74,200
 Full time student,6365,6967,13332
 Household work,913,6306,7219
" Pensioner, retired, elderly person",1750,2809,4559
" Ill, disabled",312,286,598
 Other,932,713,1645
 Total,40351,44808,85159
NotApp :,21875,*,*
AREA # 130503,Kukai,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1445,691,2136
" Employee (Private, Org)",3411,1553,4964
 Employer,712,405,1117
 Own account worker,13964,7619,21583
 Contributing family worker,4198,3339,7537
 Sought work,1530,914,2444
 Did not seek work,354,195,549
 Full time student,7985,8256,16241
 Household work,1161,12350,13511
" Pensioner, retired, elderly person",1787,2874,4661
" Ill, disabled",272,208,480
 Other,1393,733,2126
 Total,38212,39137,77349
NotApp :,23985,*,*
AREA # 130551,Monekoe(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),143,93,236
" Employee (Private, Org)",559,262,821
 Employer,111,29,140
 Own account worker,4245,1381,5626
 Contributing family worker,1733,3856,5589
 Sought work,532,392,924
 Did not seek work,323,320,643
 Full time student,1125,1015,2140
 Household work,144,719,863
" Pensioner, retired, elderly person",461,672,1133
" Ill, disabled",61,65,126
 Other,458,367,825
 Total,9895,9171,19066
NotApp :,5499,*,*
AREA # 130552,Manhero(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),42,32,74
" Employee (Private, Org)",148,67,215
 Employer,10,7,17
 Own account worker,1233,747,1980
 Contributing family worker,833,1648,2481
 Sought work,14,13,27
 Did not seek work,33,21,54
 Full time student,88,100,188
 Household work,12,86,98
" Pensioner, retired, elderly person",112,192,304
" Ill, disabled",7,7,14
 Other,182,76,258
 Total,2714,2996,5710
NotApp :,1077,*,*
AREA # 130553,Pansai(KyuKute)(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),179,127,306
" Employee (Private, Org)",1449,712,2161
 Employer,501,136,637
 Own account worker,3115,1682,4797
 Contributing family worker,1753,4219,5972
 Sought work,85,63,148
 Did not seek work,6,6,12
 Full time student,1399,1358,2757
 Household work,21,186,207
" Pensioner, retired, elderly person",292,458,750
" Ill, disabled",62,55,117
 Other,209,186,395
 Total,9071,9188,18259
NotApp :,4691,*,*
AREA # 130554,Tamoenye(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),319,199,518
" Employee (Private, Org)",897,363,1260
 Employer,274,58,332
 Own account worker,11374,3690,15064
 Contributing family worker,5463,3253,8716
 Sought work,1672,1129,2801
 Did not seek work,433,291,724
 Full time student,4262,4393,8655
 Household work,1325,11403,12728
" Pensioner, retired, elderly person",1611,2015,3626
" Ill, disabled",133,112,245
 Other,526,309,835
 Total,28289,27215,55504
NotApp :,17814,*,*
AREA # 130601,Kyukme,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1818,1343,3161
" Employee (Private, Org)",9480,6267,15747
 Employer,2159,1120,3279
 Own account worker,17917,13360,31277
 Contributing family worker,5942,10739,16681
 Sought work,446,414,860
 Did not seek work,203,160,363
 Full time student,6092,7019,13111
 Household work,481,8985,9466
" Pensioner, retired, elderly person",2307,3620,5927
" Ill, disabled",344,372,716
 Other,2401,716,3117
 Total,49590,54115,103705
NotApp :,23855,*,*
AREA # 130602,Naungkhio,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1604,1043,2647
" Employee (Private, Org)",11743,5676,17419
 Employer,2146,1087,3233
 Own account worker,22654,12890,35544
 Contributing family worker,10512,16875,27387
 Sought work,740,439,1179
 Did not seek work,127,55,182
 Full time student,6485,7094,13579
 Household work,568,10975,11543
" Pensioner, retired, elderly person",2674,3221,5895
" Ill, disabled",400,395,795
 Other,1885,678,2563
 Total,61538,60428,121966
NotApp :,27876,*,*
AREA # 130603,Hsipaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2390,1004,3394
" Employee (Private, Org)",8387,4169,12556
 Employer,1652,809,2461
 Own account worker,27940,16143,44083
 Contributing family worker,14048,22428,36476
 Sought work,712,472,1184
 Did not seek work,197,133,330
 Full time student,5840,7396,13236
 Household work,942,15214,16156
" Pensioner, retired, elderly person",2725,3886,6611
" Ill, disabled",359,360,719
 Other,3204,942,4146
 Total,68396,72956,141352
NotApp :,34806,*,*
AREA # 130604,Namtu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),542,703,1245
" Employee (Private, Org)",1908,922,2830
 Employer,436,132,568
 Own account worker,7173,4359,11532
 Contributing family worker,3186,4445,7631
 Sought work,567,344,911
 Did not seek work,94,49,143
 Full time student,2521,3071,5592
 Household work,224,4684,4908
" Pensioner, retired, elderly person",1077,1362,2439
" Ill, disabled",142,135,277
 Other,1049,379,1428
 Total,18919,20585,39504
NotApp :,10919,*,*
AREA # 130605,Namsan(North),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),346,556,902
" Employee (Private, Org)",3150,3578,6728
 Employer,1049,681,1730
 Own account worker,8998,8224,17222
 Contributing family worker,5258,8960,14218
 Sought work,155,147,302
 Did not seek work,72,59,131
 Full time student,3547,4546,8093
 Household work,300,2352,2652
" Pensioner, retired, elderly person",873,1550,2423
" Ill, disabled",241,236,477
 Other,703,586,1289
 Total,24692,31475,56167
NotApp :,16037,*,*
AREA # 130606,Momeik,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1363,870,2233
" Employee (Private, Org)",4788,2078,6866
 Employer,547,157,704
 Own account worker,9626,4061,13687
 Contributing family worker,1938,3223,5161
 Sought work,1072,525,1597
 Did not seek work,115,94,209
 Full time student,2946,3375,6321
 Household work,325,8808,9133
" Pensioner, retired, elderly person",1237,1954,3191
" Ill, disabled",148,166,314
 Other,998,409,1407
 Total,25103,25720,50823
NotApp :,12507,*,*
AREA # 130607,Mabane,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),500,424,924
" Employee (Private, Org)",3020,1306,4326
 Employer,865,329,1194
 Own account worker,8457,2828,11285
 Contributing family worker,2353,3041,5394
 Sought work,686,258,944
 Did not seek work,46,24,70
 Full time student,2482,2576,5058
 Household work,279,6487,6766
" Pensioner, retired, elderly person",668,1045,1713
" Ill, disabled",94,140,234
 Other,489,183,672
 Total,19939,18641,38580
NotApp :,8818,*,*
AREA # 130608,Manton,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),342,196,538
" Employee (Private, Org)",613,230,843
 Employer,172,93,265
 Own account worker,5776,4045,9821
 Contributing family worker,2930,4552,7482
 Sought work,230,162,392
 Did not seek work,69,53,122
 Full time student,1880,2252,4132
 Household work,154,1885,2039
" Pensioner, retired, elderly person",389,687,1076
" Ill, disabled",86,107,193
 Other,784,568,1352
 Total,13425,14830,28255
NotApp :,10346,*,*
AREA # 130651,Minengaw(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),87,73,160
" Employee (Private, Org)",764,805,1569
 Employer,264,112,376
 Own account worker,2727,1817,4544
 Contributing family worker,985,1450,2435
 Sought work,108,84,192
 Did not seek work,80,76,156
 Full time student,668,915,1583
 Household work,78,1783,1861
" Pensioner, retired, elderly person",382,581,963
" Ill, disabled",34,42,76
 Other,428,160,588
 Total,6605,7898,14503
NotApp :,4398,*,*
AREA # 130652,Minelon(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),88,102,190
" Employee (Private, Org)",1234,898,2132
 Employer,181,145,326
 Own account worker,4465,3343,7808
 Contributing family worker,1231,1805,3036
 Sought work,72,90,162
 Did not seek work,28,18,46
 Full time student,974,1200,2174
 Household work,110,2127,2237
" Pensioner, retired, elderly person",385,634,1019
" Ill, disabled",46,50,96
 Other,598,246,844
 Total,9412,10658,20070
NotApp :,5578,*,*
AREA # 130701,Kunlon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),986,345,1331
" Employee (Private, Org)",2497,923,3420
 Employer,228,79,307
 Own account worker,8402,4145,12547
 Contributing family worker,5734,5747,11481
 Sought work,319,170,489
 Did not seek work,161,112,273
 Full time student,2590,2454,5044
 Household work,731,4657,5388
" Pensioner, retired, elderly person",786,1290,2076
" Ill, disabled",159,136,295
 Other,701,549,1250
 Total,23294,20607,43901
NotApp :,14873,*,*
AREA # 130801,Laukine,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2454,307,2761
" Employee (Private, Org)",5667,3429,9096
 Employer,1090,458,1548
 Own account worker,12322,4356,16678
 Contributing family worker,4998,4281,9279
 Sought work,992,629,1621
 Did not seek work,310,223,533
 Full time student,5441,4610,10051
 Household work,598,10611,11209
" Pensioner, retired, elderly person",1438,2233,3671
" Ill, disabled",178,144,322
 Other,2033,1551,3584
 Total,37521,32832,70353
NotApp :,19608,*,*
AREA # 130802,Kongyan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),229,63,292
" Employee (Private, Org)",470,215,685
 Employer,193,27,220
 Own account worker,4684,998,5682
 Contributing family worker,4768,7362,12130
 Sought work,173,136,309
 Did not seek work,14,8,22
 Full time student,1325,996,2321
 Household work,412,1163,1575
" Pensioner, retired, elderly person",436,654,1090
" Ill, disabled",73,87,160
 Other,113,85,198
 Total,12890,11794,24684
NotApp :,9088,*,*
AREA # 130851,Chinshwehaw(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),104,47,151
" Employee (Private, Org)",866,264,1130
 Employer,42,29,71
 Own account worker,506,280,786
 Contributing family worker,175,236,411
 Sought work,39,15,54
 Did not seek work,7,5,12
 Full time student,279,247,526
 Household work,20,527,547
" Pensioner, retired, elderly person",43,65,108
" Ill, disabled",11,6,17
 Other,36,34,70
 Total,2128,1755,3883
NotApp :,1006,*,*
AREA # 130852,Mawhtike(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),105,45,150
" Employee (Private, Org)",702,276,978
 Employer,50,18,68
 Own account worker,4505,2566,7071
 Contributing family worker,2234,2258,4492
 Sought work,485,351,836
 Did not seek work,101,94,195
 Full time student,1469,1287,2756
 Household work,397,2196,2593
" Pensioner, retired, elderly person",555,690,1245
" Ill, disabled",81,57,138
 Other,197,254,451
 Total,10881,10092,20973
NotApp :,5317,*,*
AREA # 130901,Hopan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),708,248,956
" Employee (Private, Org)",3520,1998,5518
 Employer,284,195,479
 Own account worker,9678,6260,15938
 Contributing family worker,2488,2920,5408
 Sought work,332,229,561
 Did not seek work,123,86,209
 Full time student,2441,2338,4779
 Household work,268,3939,4207
" Pensioner, retired, elderly person",871,1415,2286
" Ill, disabled",118,108,226
 Other,747,533,1280
 Total,21578,20269,41847
NotApp :,13047,*,*
AREA # 130902,Minemaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),195,135,330
" Employee (Private, Org)",556,283,839
 Employer,455,247,702
 Own account worker,14468,10579,25047
 Contributing family worker,3437,4549,7986
 Sought work,677,455,1132
 Did not seek work,121,67,188
 Full time student,3224,2523,5747
 Household work,627,3259,3886
" Pensioner, retired, elderly person",1453,1523,2976
" Ill, disabled",59,56,115
 Other,1775,1517,3292
 Total,27047,25193,52240
NotApp :,18443,*,*
AREA # 130903,Panwine,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),73,14,87
" Employee (Private, Org)",175,109,284
 Employer,695,642,1337
 Own account worker,19894,15828,35722
 Contributing family worker,4972,5550,10522
 Sought work,916,672,1588
 Did not seek work,245,153,398
 Full time student,4433,3881,8314
 Household work,959,4296,5255
" Pensioner, retired, elderly person",1290,1637,2927
" Ill, disabled",171,210,381
 Other,2546,2582,5128
 Total,36369,35574,71943
NotApp :,25154,*,*
AREA # 130952,Panlon(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),57,38,95
" Employee (Private, Org)",308,94,402
 Employer,21,8,29
 Own account worker,1004,343,1347
 Contributing family worker,375,303,678
 Sought work,104,49,153
 Did not seek work,12,3,15
 Full time student,261,301,562
 Household work,56,907,963
" Pensioner, retired, elderly person",98,136,234
" Ill, disabled",21,16,37
 Other,74,30,104
 Total,2391,2228,4619
NotApp :,1587,*,*
AREA # 131001,Makman,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),386,78,464
" Employee (Private, Org)",268,79,347
 Employer,92,5,97
 Own account worker,2819,652,3471
 Contributing family worker,2024,3403,5427
 Sought work,47,14,61
 Did not seek work,96,37,133
 Full time student,406,397,803
 Household work,254,1571,1825
" Pensioner, retired, elderly person",227,366,593
" Ill, disabled",26,34,60
 Other,413,105,518
 Total,7058,6741,13799
NotApp :,5933,*,*
AREA # 131002,Pan San(Pan Kham),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),562,199,761
" Employee (Private, Org)",10588,5999,16587
 Employer,1102,631,1733
 Own account worker,13164,8842,22006
 Contributing family worker,6371,7853,14224
 Sought work,776,415,1191
 Did not seek work,539,345,884
 Full time student,3714,2970,6684
 Household work,1282,7432,8714
" Pensioner, retired, elderly person",1346,1876,3222
" Ill, disabled",145,151,296
 Other,2165,1299,3464
 Total,41754,38012,79766
NotApp :,24563,*,*
AREA # 131003,Naphang,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),243,55,298
" Employee (Private, Org)",1498,1142,2640
 Employer,398,355,753
 Own account worker,21192,15214,36406
 Contributing family worker,7750,8738,16488
 Sought work,1326,1088,2414
 Did not seek work,506,422,928
 Full time student,4478,3267,7745
 Household work,1361,5796,7157
" Pensioner, retired, elderly person",1967,2449,4416
" Ill, disabled",187,209,396
 Other,3201,3183,6384
 Total,44107,41918,86025
NotApp :,30155,*,*
AREA # 131051,ManKan(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),79,26,105
" Employee (Private, Org)",110,40,150
 Employer,1,1,2
 Own account worker,216,111,327
 Contributing family worker,81,125,206
 Sought work,3,3,6
 Full time student,37,63,100
 Household work,8,167,175
" Pensioner, retired, elderly person",21,53,74
" Ill, disabled",4,3,7
 Other,81,12,93
 Total,641,604,1245
NotApp :,398,*,*
AREA # 131101,Kengtung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),5708,1880,7588
" Employee (Private, Org)",8122,3138,11260
 Employer,1175,491,1666
 Own account worker,23089,12544,35633
 Contributing family worker,12831,14064,26895
 Sought work,1179,776,1955
 Did not seek work,275,145,420
 Full time student,7581,9400,16981
 Household work,1916,18281,20197
" Pensioner, retired, elderly person",2450,3735,6185
" Ill, disabled",357,328,685
 Other,5330,2079,7409
 Total,70013,66861,136874
NotApp :,34746,*,*
AREA # 131102,Minekat,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),750,151,901
" Employee (Private, Org)",385,109,494
 Employer,125,45,170
 Own account worker,7303,3916,11219
 Contributing family worker,3941,3923,7864
 Sought work,170,136,306
 Did not seek work,359,291,650
 Full time student,704,484,1188
 Household work,1329,5101,6430
" Pensioner, retired, elderly person",819,1116,1935
" Ill, disabled",53,50,103
 Other,1769,968,2737
 Total,17707,16290,33997
NotApp :,10531,*,*
AREA # 131103,Mineyan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),498,102,600
" Employee (Private, Org)",799,396,1195
 Employer,1945,159,2104
 Own account worker,7754,2487,10241
 Contributing family worker,6293,10303,16596
 Sought work,229,181,410
 Did not seek work,132,31,163
 Full time student,1432,1249,2681
 Household work,460,3529,3989
" Pensioner, retired, elderly person",946,1455,2401
" Ill, disabled",77,78,155
 Other,934,285,1219
 Total,21499,20255,41754
NotApp :,10837,*,*
AREA # 131104,Minelar,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),75,73,148
" Employee (Private, Org)",6205,5376,11581
 Employer,488,206,694
 Own account worker,5568,1981,7549
 Contributing family worker,3086,4745,7831
 Sought work,439,284,723
 Did not seek work,275,252,527
 Full time student,880,870,1750
 Household work,530,2924,3454
" Pensioner, retired, elderly person",447,726,1173
" Ill, disabled",36,33,69
 Other,1264,295,1559
 Total,19293,17765,37058
NotApp :,6010,*,*
AREA # 131151,Mine Pauk(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),49,27,76
" Employee (Private, Org)",2136,867,3003
 Employer,509,420,929
 Own account worker,7965,5124,13089
 Contributing family worker,5555,5537,11092
 Sought work,415,363,778
 Did not seek work,177,119,296
 Full time student,2257,1882,4139
 Household work,703,4175,4878
" Pensioner, retired, elderly person",748,1117,1865
" Ill, disabled",58,62,120
 Other,1325,1185,2510
 Total,21897,20878,42775
NotApp :,12279,*,*
AREA # 131201,Minesat,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2263,365,2628
" Employee (Private, Org)",8621,4604,13225
 Employer,347,122,469
 Own account worker,10921,4834,15755
 Contributing family worker,3091,4411,7502
 Sought work,365,223,588
 Did not seek work,357,175,532
 Full time student,4179,3807,7986
 Household work,995,7959,8954
" Pensioner, retired, elderly person",741,1275,2016
" Ill, disabled",172,154,326
 Other,1708,1198,2906
 Total,33760,29127,62887
NotApp :,23666,*,*
AREA # 131202,Minepyin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),757,236,993
" Employee (Private, Org)",985,421,1406
 Employer,123,61,184
 Own account worker,9356,4162,13518
 Contributing family worker,5124,7036,12160
 Sought work,327,171,498
 Did not seek work,65,28,93
 Full time student,1028,1221,2249
 Household work,366,5028,5394
" Pensioner, retired, elderly person",717,919,1636
" Ill, disabled",78,107,185
 Other,1417,317,1734
 Total,20343,19707,40050
NotApp :,14099,*,*
AREA # 131203,Minetung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1130,143,1273
" Employee (Private, Org)",1561,307,1868
 Employer,51,32,83
 Own account worker,3983,2184,6167
 Contributing family worker,639,507,1146
 Sought work,146,64,210
 Did not seek work,30,15,45
 Full time student,630,641,1271
 Household work,398,2760,3158
" Pensioner, retired, elderly person",240,307,547
" Ill, disabled",53,42,95
 Other,432,275,707
 Total,9293,7277,16570
NotApp :,5424,*,*
AREA # 131251,Minekoke(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),456,49,505
" Employee (Private, Org)",494,67,561
 Employer,73,18,91
 Own account worker,3187,1355,4542
 Contributing family worker,1642,1293,2935
 Sought work,23,21,44
 Did not seek work,85,76,161
 Full time student,318,299,617
 Household work,149,2348,2497
" Pensioner, retired, elderly person",106,173,279
" Ill, disabled",13,11,24
 Other,212,117,329
 Total,6758,5827,12585
NotApp :,5511,*,*
AREA # 131252,Tontar(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),324,59,383
" Employee (Private, Org)",231,74,305
 Employer,24,8,32
 Own account worker,2402,916,3318
 Contributing family worker,1463,1969,3432
 Sought work,80,54,134
 Did not seek work,41,24,65
 Full time student,364,362,726
 Household work,192,1258,1450
" Pensioner, retired, elderly person",129,249,378
" Ill, disabled",20,18,38
 Other,289,145,434
 Total,5559,5136,10695
NotApp :,3989,*,*
AREA # 131253,Ponparkyin(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
