Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total
 Total,22,3,4,6,1,3,1,2,3,1,1,1,1,2,2,-,1,-,3,1,3,2,2,2,-,1,-,3,2,-,6,-,1,-,1,6,1,-,3,2,7,1,4,1,1,7,1,1,2,-,3,2,2,2,2,1,3,1,5,-,8,-,1,-,3,2,1,3,3,4,7,2,1,1,1,2,3,-,9,-,5,1,-,3,-,1,-,-,-,1,6,207
AREA # 130404,Tantyan,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,42,7,5,3,1,4,3,-,1,-,2,-,1,1,2,2,-,-,1,-,4,-,1,2,1,4,3,1,1,1,6,3,2,5,1,4,4,4,4,2,6,1,5,1,2,10,3,-,1,3,8,2,-,4,2,6,4,1,1,7,7,4,2,5,5,4,2,-,3,2,8,1,3,2,1,3,-,1,3,2,9,1,1,1,-,2,1,-,2,2,8,280
 Female,36,12,6,5,3,-,-,2,-,2,1,-,1,2,-,2,1,-,2,1,2,-,2,-,-,4,1,2,-,-,3,-,2,-,1,3,3,1,1,4,1,-,1,2,3,7,2,1,1,2,-,1,1,1,2,3,4,1,3,2,6,2,2,2,1,4,-,1,5,3,6,-,4,3,1,2,4,-,2,1,8,-,3,1,1,2,3,1,4,-,11,226
 Total,78,19,11,8,4,4,3,2,1,2,3,-,2,3,2,4,1,-,3,1,6,-,3,2,1,8,4,3,1,1,9,3,4,5,2,7,7,5,5,6,7,1,6,3,5,17,5,1,2,5,8,3,1,5,4,9,8,2,4,9,13,6,4,7,6,8,2,1,8,5,14,1,7,5,2,5,4,1,5,3,17,1,4,2,1,4,4,1,6,2,19,506
AREA # 130501,MuSe,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,13,1,1,-,-,-,-,-,1,-,-,-,1,1,1,-,-,1,2,1,1,1,1,1,2,3,2,4,4,1,7,3,7,4,4,2,4,2,5,5,2,3,8,6,3,2,8,8,3,5,7,3,6,2,6,2,4,1,3,1,4,-,3,4,-,3,2,5,1,1,2,1,1,1,2,2,1,3,3,1,2,-,1,4,-,2,-,-,-,1,3,222
 Female,6,1,-,2,-,-,-,-,1,-,-,-,-,2,-,-,1,-,-,1,-,-,-,1,1,-,-,1,-,1,1,-,-,-,-,3,1,-,2,1,3,-,4,1,1,1,2,3,1,1,1,1,2,4,1,2,5,1,3,3,3,2,-,1,5,3,5,-,5,1,1,2,2,5,4,4,1,5,3,-,6,-,-,-,2,2,2,-,2,3,7,142
 Total,19,2,1,2,-,-,-,-,2,-,-,-,1,3,1,-,1,1,2,2,1,1,1,2,3,3,2,5,4,2,8,3,7,4,4,5,5,2,7,6,5,3,12,7,4,3,10,11,4,6,8,4,8,6,7,4,9,2,6,4,7,2,3,5,5,6,7,5,6,2,3,3,3,6,6,6,2,8,6,1,8,-,1,4,2,4,2,-,2,4,10,364
AREA # 130502,Namkham,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,17,3,8,3,1,-,1,-,1,-,2,2,-,-,1,-,2,1,1,4,-,1,1,3,1,-,1,2,6,3,7,1,3,2,5,4,5,4,3,8,4,3,7,8,4,8,2,2,2,4,6,4,8,8,2,4,5,1,3,4,7,3,8,7,3,4,4,4,6,4,2,3,5,4,2,4,2,6,3,2,2,3,-,2,1,8,4,3,2,1,10,315
 Female,17,4,4,-,-,1,2,-,-,-,-,1,-,1,-,-,-,-,-,-,2,-,-,1,-,1,-,-,1,1,2,2,-,2,2,1,5,1,-,-,-,-,1,1,3,2,3,-,2,-,2,1,7,1,4,3,4,1,5,2,4,2,4,2,1,4,2,1,3,5,2,-,2,1,3,4,4,-,7,1,3,3,3,6,5,3,6,3,2,1,15,195
 Total,34,7,12,3,1,1,3,-,1,-,2,3,-,1,1,-,2,1,1,4,2,1,1,4,1,1,1,2,7,4,9,3,3,4,7,5,10,5,3,8,4,3,8,9,7,10,5,2,4,4,8,5,15,9,6,7,9,2,8,6,11,5,12,9,4,8,6,5,9,9,4,3,7,5,5,8,6,6,10,3,5,6,3,8,6,11,10,6,4,2,25,510
AREA # 130503,Kukai,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,11,7,6,2,2,1,1,2,-,2,2,-,1,1,-,-,2,2,-,1,5,1,1,2,-,1,4,1,1,1,3,-,4,2,3,3,2,3,7,2,6,2,5,6,4,-,6,-,5,1,2,1,2,-,2,2,3,2,2,2,6,-,4,6,4,3,2,3,2,1,4,1,1,3,2,2,3,1,4,2,1,1,2,-,3,3,1,-,2,-,3,212
 Female,17,3,1,-,1,1,2,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,1,1,-,-,1,-,-,2,1,2,2,-,4,1,1,1,-,4,-,1,1,-,-,1,2,3,-,3,4,1,3,-,1,1,3,1,-,2,-,1,1,3,4,1,-,3,1,1,1,-,1,3,1,1,-,1,-,3,3,-,1,3,-,3,2,-,-,10,125
 Total,28,10,7,2,3,2,3,3,-,2,2,-,1,1,1,-,2,2,1,1,5,1,2,3,1,1,4,2,1,1,5,1,6,4,3,7,3,4,8,2,10,2,6,7,4,-,7,2,8,1,5,5,3,3,2,3,4,5,3,2,8,-,5,7,7,7,3,3,5,2,5,2,1,4,5,3,4,1,5,2,4,4,2,1,6,3,4,2,2,-,13,337
AREA # 130551,Monekoe(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,2,1,1,-,-,1,-,2,3,2,-,1,1,-,2,1,-,-,-,-,-,2,-,1,-,1,-,1,2,-,-,1,-,-,3,2,-,1,1,1,-,-,-,-,2,-,2,-,3,2,1,1,-,1,-,1,-,-,-,1,-,-,3,1,-,2,-,-,-,-,63
 Female,3,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,1,-,2,1,-,3,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,2,1,1,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,1,1,2,-,2,-,1,-,-,-,-,-,-,1,2,39
 Total,9,2,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,1,2,-,2,1,1,1,-,1,-,2,3,3,-,3,2,-,5,1,-,-,1,1,-,3,-,1,-,1,-,1,2,-,-,2,-,-,4,2,1,3,2,2,-,-,-,-,3,-,2,-,4,2,1,1,1,1,-,2,1,2,-,3,-,1,3,1,-,2,-,-,1,2,102
AREA # 130552,Manhero(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,1,1,1,-,-,-,1,2,1,-,1,-,-,-,1,1,-,1,-,-,2,-,3,-,-,-,1,-,-,-,-,-,-,1,1,-,1,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,28
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,15
 Total,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,2,1,1,2,-,-,1,1,2,1,-,1,1,-,-,1,2,-,1,-,1,3,-,4,-,1,-,1,-,-,-,-,-,-,1,1,-,2,1,-,1,1,-,-,1,-,-,-,-,-,-,-,1,-,2,1,43
AREA # 130553,Pansai(KyuKute)(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,1,-,-,-,-,-,-,2,1,2,-,2,1,2,3,1,-,-,4,-,-,1,-,-,-,-,-,1,-,1,1,2,-,2,1,-,-,-,2,3,1,-,1,1,2,-,1,-,1,-,3,-,1,-,1,-,-,-,1,-,-,-,-,1,-,1,-,1,58
 Female,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,-,1,1,1,-,1,-,-,-,1,1,1,-,-,-,-,-,3,24
 Total,6,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,1,1,-,-,-,1,-,-,2,1,2,-,2,2,2,3,2,-,1,4,-,-,1,-,-,-,-,-,1,-,1,2,3,-,2,1,-,-,-,2,3,1,-,1,2,2,-,1,1,2,1,3,1,2,1,1,1,-,-,1,1,1,1,-,1,-,1,-,4,82
AREA # 130554,Tamoenye(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,14,9,3,4,1,1,-,-,-,2,2,1,1,-,2,-,-,1,1,1,-,-,1,1,1,-,2,-,-,1,1,-,-,1,-,4,4,-,1,2,5,-,3,2,1,1,2,1,2,2,2,2,-,3,2,2,-,1,1,1,2,1,-,2,-,2,1,1,4,1,1,1,-,1,2,1,1,-,-,-,2,2,3,-,1,2,1,1,1,-,1,130
 Female,15,8,6,1,-,1,-,-,1,-,2,-,-,1,-,-,1,1,1,-,2,-,-,-,-,-,-,-,-,2,1,-,-,-,2,2,1,-,1,1,2,1,-,-,-,-,2,-,1,2,2,1,1,-,-,-,-,-,2,-,2,-,-,1,3,1,-,-,1,1,1,-,-,-,1,-,-,2,2,1,1,-,1,2,3,2,2,-,-,-,2,93
 Total,29,17,9,5,1,2,-,-,1,2,4,1,1,1,2,-,1,2,2,1,2,-,1,1,1,-,2,-,-,3,2,-,-,1,2,6,5,-,2,3,7,1,3,2,1,1,4,1,3,4,4,3,1,3,2,2,-,1,3,1,4,1,-,3,3,3,1,1,5,2,2,1,-,1,3,1,1,2,2,1,3,2,4,2,4,4,3,1,1,-,3,223
AREA # 130601,Kyukme,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,26,7,4,1,-,-,1,1,-,-,1,1,1,2,-,2,2,1,1,2,-,-,1,2,1,3,1,4,5,3,7,3,4,4,2,6,5,5,7,9,9,3,5,8,6,4,8,5,5,7,11,3,3,1,8,11,11,7,4,7,10,4,5,8,9,9,8,7,10,3,8,5,4,6,4,3,6,6,3,1,5,1,1,9,5,4,6,2,2,3,3,411
 Female,18,2,2,2,1,1,-,-,-,-,-,-,-,1,-,1,2,2,-,3,1,3,-,-,2,-,1,4,2,2,2,1,1,3,1,-,1,2,6,1,3,-,3,5,4,2,3,2,4,3,4,1,3,5,4,5,4,3,6,3,3,6,3,6,4,4,3,8,3,3,9,4,2,4,5,7,6,3,7,2,3,5,4,4,6,5,3,2,5,4,15,283
 Total,44,9,6,3,1,1,1,1,-,-,1,1,1,3,-,3,4,3,1,5,1,3,1,2,3,3,2,8,7,5,9,4,5,7,3,6,6,7,13,10,12,3,8,13,10,6,11,7,9,10,15,4,6,6,12,16,15,10,10,10,13,10,8,14,13,13,11,15,13,6,17,9,6,10,9,10,12,9,10,3,8,6,5,13,11,9,9,4,7,7,18,694
AREA # 130602,Naungkhio,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,26,8,-,2,3,1,-,-,-,1,1,2,1,-,-,-,4,2,-,3,5,1,-,1,2,-,1,1,4,4,1,3,2,8,5,5,7,2,5,1,6,4,8,4,7,9,4,5,7,4,4,10,7,7,5,5,9,6,2,7,8,5,3,3,2,7,8,3,3,6,5,5,5,6,3,6,11,6,6,6,5,4,-,5,3,2,4,-,1,1,3,367
 Female,20,3,1,1,2,-,-,-,1,1,2,1,-,-,2,1,-,3,1,1,3,1,3,1,-,1,-,1,4,-,1,1,-,2,1,4,-,2,2,2,1,-,1,-,2,3,1,-,2,2,3,2,1,4,-,1,2,1,6,3,4,1,4,4,4,2,7,8,2,3,-,-,5,5,3,4,6,6,8,8,7,1,3,5,8,5,1,3,3,2,5,231
 Total,46,11,1,3,5,1,-,-,1,2,3,3,1,-,2,1,4,5,1,4,8,2,3,2,2,1,1,2,8,4,2,4,2,10,6,9,7,4,7,3,7,4,9,4,9,12,5,5,9,6,7,12,8,11,5,6,11,7,8,10,12,6,7,7,6,9,15,11,5,9,5,5,10,11,6,10,17,12,14,14,12,5,3,10,11,7,5,3,4,3,8,598
AREA # 130603,Hsipaw,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,34,8,9,3,3,2,3,-,4,2,1,1,2,1,1,-,3,1,4,1,3,-,2,6,3,1,-,4,4,7,5,1,6,2,6,8,2,3,7,5,11,3,10,4,4,17,8,11,10,7,4,4,4,6,5,15,6,5,8,10,11,4,4,7,6,5,4,6,6,3,8,3,6,5,4,7,1,1,5,2,4,5,4,4,1,2,2,1,5,-,7,443
 Female,40,7,4,2,5,7,1,1,1,-,1,1,-,1,1,-,1,-,-,-,4,3,-,2,3,1,-,2,2,3,5,2,1,4,3,3,2,-,1,1,5,-,2,7,2,2,5,1,1,1,7,4,7,5,2,4,9,1,5,3,11,1,7,2,10,3,3,8,2,3,4,2,2,2,1,7,4,3,4,1,10,1,2,3,2,4,1,2,-,1,12,306
 Total,74,15,13,5,8,9,4,1,5,2,2,2,2,2,2,-,4,1,4,1,7,3,2,8,6,2,-,6,6,10,10,3,7,6,9,11,4,3,8,6,16,3,12,11,6,19,13,12,11,8,11,8,11,11,7,19,15,6,13,13,22,5,11,9,16,8,7,14,8,6,12,5,8,7,5,14,5,4,9,3,14,6,6,7,3,6,3,3,5,1,19,749
AREA # 130604,Namtu,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
