Sex,Occupation_Chief_executive_senior_officials_and_legislators,Occupation_Administrative_and_commercial_managers,Occupation_Production_and_specialized_services_managers,"Occupation_Hospitality,_retail_and_other_services_managers",Occupation_Science_and_engineering_professionals,Occupation_Health_professionals,Occupation_Teaching_professionals,Occupation_Business_and_administrative_professionals,Occupation_Information_and_communications_technology_professionals,"Occupation_Legal,_social_and_cultural_professionals",Occupation_Science_and_engineering_associate_professionals,Occupation_Health_associate_professionals,Occupation_Business_and_administrative_associate_professionals,"Occupation_Legal,_social_and_cultural_and_related_associate_professionals",Occupation_Information_and_communications_technicians,Occupation_General_and_keyboard_clerks,Occupation_Customer_services_clerks,Occupation_Numerical_and_material_recording_clerks,Occupation_Other_clerical_support_workers,Occupation_Personal_service_workers,Occupation_Sales_workers,Occupation_Personal_care_workers,Occupation_Protective_services_workers,Occupation_Market-oriented_skilled_agricultural_workers,"Occupation_Market-oriented_skilled_forestry,_fishery_and_hunting_workers","Occupation_Subsistence_farmers,_fishers,_hunters_and_gatherers","Occupation_Building_and_related_trades_workers,_excluding_electricians","Occupation_Metal,_machinery_and_related_trades_workers",Occupation_Handicraft_and_printing_workers,Occupation_Electrical_and_electronic_trades_workers,"Occupation_Food_processing,_wood_working,_garment_and_other_craft_and_related_trades_workers",Occupation_Stationary_plant_and_machine_operators,Occupation_Assemblers,Occupation_Drivers_and_mobile_plant_operators,Occupation_Cleaners_and_helpers,Occupation_Agricultural_forestry_and_fishery_labourers,"Occupation_Labourers_in_mining_,_construction,_manufacturing_and_transport",Occupation_Food_preparation_assistants,Occupation_Street_and_related_sales_and_service_workers,Occupation_Refuse_workers_and_other_elementary_workers,Occupation_Not_stated,Occupation_Total
NotApp :,28243,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130608,Manton,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,9,11,-,-,1,1,23,-,-,1,-,-,74,9,-,27,1,-,4,7,93,1,9,7935,2,-,98,24,34,6,29,3,-,62,1,231,26,-,-,274,703,9699
 Female,-,16,-,-,-,1,97,1,-,2,-,17,7,3,1,23,2,1,8,2,221,-,1,6829,-,-,21,-,6,-,40,1,-,-,12,373,13,-,-,674,1066,9438
 Total,9,27,-,-,1,2,120,1,-,3,-,17,81,12,1,50,3,1,12,9,314,1,10,14764,2,-,119,24,40,6,69,4,-,62,13,604,39,-,-,948,1769,19137
NotApp :,19464,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130651,Minengaw(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,15,4,-,-,-,2,7,-,-,-,-,2,15,2,1,12,-,1,2,15,91,1,7,3145,-,-,83,17,3,2,19,10,-,33,-,64,10,-,1,817,282,4663
 Female,-,4,-,-,-,2,22,-,-,2,-,4,4,2,-,4,-,1,8,3,103,-,-,2365,-,-,11,-,3,1,17,1,-,1,5,80,-,-,-,1040,256,3939
 Total,15,8,-,-,-,4,29,-,-,2,-,6,19,4,1,16,-,2,10,18,194,1,7,5510,-,-,94,17,6,3,36,11,-,34,5,144,10,-,1,1857,538,8602
NotApp :,10299,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130652,Minelon(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,11,3,1,-,-,3,3,-,-,-,-,4,15,1,1,17,-,-,3,4,73,1,14,5328,1,-,64,17,55,3,24,13,-,25,-,175,18,-,-,820,266,6963
 Female,-,11,-,-,-,-,58,-,-,-,-,8,4,-,-,2,-,-,8,9,163,-,-,4076,-,-,7,-,2,-,49,3,-,-,2,226,2,-,-,1309,276,6215
 Total,11,14,1,-,-,3,61,-,-,-,-,12,19,1,1,19,-,-,11,13,236,1,14,9404,1,-,71,17,57,3,73,16,-,25,2,401,20,-,-,2129,542,13178
NotApp :,12470,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130701,Kunlon,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,78,15,3,2,8,3,55,3,-,11,-,2,261,19,2,86,7,8,15,29,281,2,96,11588,15,-,373,111,17,14,28,9,-,405,7,156,138,-,2,442,1993,16284
 Female,4,15,-,-,-,7,132,9,-,3,1,32,31,8,2,60,9,2,24,17,554,4,-,7686,1,-,16,1,5,-,70,4,-,5,21,49,13,1,2,232,1988,11008
 Total,82,30,3,2,8,10,187,12,-,14,1,34,292,27,4,146,16,10,39,46,835,6,96,19274,16,-,389,112,22,14,98,13,-,410,28,205,151,1,4,674,3981,27292
NotApp :,31482,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130801,Laukine,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,296,4,4,6,3,18,90,4,-,10,-,23,471,8,-,38,256,2,8,69,630,11,152,15486,8,2,414,190,6,17,67,18,2,252,91,806,140,-,-,435,2539,22576
 Female,2,7,-,-,-,4,84,3,-,1,-,13,13,3,-,33,328,-,7,94,582,5,9,6972,2,1,35,6,1,2,29,6,-,5,135,420,35,-,3,304,2303,11447
 Total,298,11,4,6,3,22,174,7,-,11,-,36,484,11,-,71,584,2,15,163,1212,16,161,22458,10,3,449,196,7,19,96,24,2,257,226,1226,175,-,3,739,4842,34023
NotApp :,55938,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130802,Kongyan,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,8,2,-,-,1,2,21,1,-,-,-,2,56,-,-,12,6,1,-,2,60,-,17,6903,1,1,24,12,10,-,3,3,-,14,-,1726,5,-,-,1137,174,10204
 Female,-,4,-,-,-,1,36,-,-,-,-,4,1,-,-,11,20,-,-,3,71,4,-,3728,-,-,1,1,1,-,9,1,-,1,6,1997,-,-,-,2522,227,8649
 Total,8,6,-,-,1,3,57,1,-,-,-,6,57,-,-,23,26,1,-,5,131,4,17,10631,1,1,25,13,11,-,12,4,-,15,6,3723,5,-,-,3659,401,18853
NotApp :,14919,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130851,Chinshwehaw(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,3,4,2,-,2,-,8,-,-,2,-,1,21,1,1,18,23,7,-,10,105,1,12,508,1,-,39,27,-,2,13,2,-,43,4,30,513,-,-,31,65,1499
 Female,-,2,-,-,-,1,10,-,-,-,1,1,4,-,3,9,41,2,-,27,158,-,-,389,-,-,2,-,-,-,6,-,-,6,15,17,10,-,-,12,68,784
 Total,3,6,2,-,2,1,18,-,-,2,1,2,25,1,4,27,64,9,-,37,263,1,12,897,1,-,41,27,-,2,19,2,-,49,19,47,523,-,-,43,133,2283
NotApp :,2606,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130852,Mawhtike(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,3,1,-,-,-,3,47,-,-,1,-,5,22,2,-,16,7,1,-,-,76,-,3,5995,-,-,27,14,1,-,1,2,-,8,1,913,7,-,-,42,451,7649
 Female,-,-,-,-,-,1,39,-,-,-,-,-,6,-,-,3,19,-,-,1,99,-,-,4171,-,-,5,1,1,-,1,-,-,1,1,475,2,-,-,24,480,5330
 Total,3,1,-,-,-,4,86,-,-,1,-,5,28,2,-,19,26,1,-,1,175,-,3,10166,-,-,32,15,2,-,2,2,-,9,2,1388,9,-,-,66,931,12979
NotApp :,13311,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130901,Hopan,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,26,9,2,2,9,5,61,2,-,7,-,4,173,17,3,77,8,2,10,22,255,1,60,12192,6,-,390,98,46,22,46,16,7,232,5,605,192,1,2,625,1189,16429
 Female,3,13,-,-,-,3,124,3,-,6,2,25,12,5,2,55,5,-,14,21,459,2,1,8745,-,-,32,1,3,-,73,4,1,5,74,401,57,4,1,476,1287,11919
 Total,29,22,2,2,9,8,185,5,-,13,2,29,185,22,5,132,13,2,24,43,714,3,61,20937,6,-,422,99,49,22,119,20,8,237,79,1006,249,5,3,1101,2476,28348
NotApp :,26546,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130902,Minemaw,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,-,1,-,-,3,2,29,-,-,-,-,4,16,-,-,6,4,-,2,3,150,2,3,17243,16,-,57,43,6,1,29,4,-,117,-,41,12,-,1,46,2140,19981
 Female,-,-,-,-,-,-,27,-,-,-,-,6,8,-,-,3,3,-,1,22,170,6,1,14210,11,-,3,7,-,-,37,3,-,2,9,13,-,-,3,9,2200,16754
 Total,-,1,-,-,3,2,56,-,-,-,-,10,24,-,-,9,7,-,3,25,320,8,4,31453,27,-,60,50,6,1,66,7,-,119,9,54,12,-,4,55,4340,36735
NotApp :,33948,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130903,Panwine,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,-,-,-,-,-,-,16,-,-,1,-,-,9,-,-,1,-,-,-,-,30,1,1,21388,-,-,13,3,-,-,5,-,-,11,-,12,1,-,-,17,6200,27709
 Female,-,-,-,-,-,-,8,-,-,-,-,-,3,3,-,-,-,-,-,3,29,-,-,17998,-,-,1,-,-,-,2,-,-,-,1,2,-,-,-,12,5964,24026
 Total,-,-,-,-,-,-,24,-,-,1,-,-,12,3,-,1,-,-,-,3,59,1,1,39386,-,-,14,3,-,-,7,-,-,11,1,14,1,-,-,29,12164,51735
NotApp :,45362,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 130952,Panlon(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Chief executive senior officials and legislators,Administrative and commercial managers,Production and specialized services managers,"Hospitality, retail and other services managers",Science and engineering professionals,Health professionals,Teaching professionals,Business and administrative professionals,Information and communications technology professionals,"Legal, social and cultural professionals",Science and engineering associate professionals,Health associate professionals,Business and administrative associate professionals,"Legal, social and cultural and related associate professionals",Information and communications technicians,General and keyboard clerks,Customer services clerks,Numerical and material recording clerks,Other clerical support workers,Personal service workers,Sales workers,Personal care workers,Protective services workers,Market-oriented skilled agricultural workers,"Market-oriented skilled forestry, fishery and hunting workers","Subsistence farmers, fishers, hunters and gatherers","Building and related trades workers, excluding electricians","Metal, machinery and related trades workers",Handicraft and printing workers,Electrical and electronic trades workers,"Food processing, wood working, garment and other craft and related trades workers",Stationary plant and machine operators,Assemblers,Drivers and mobile plant operators,Cleaners and helpers,Agricultural forestry and fishery labourers,"Labourers in mining , construction, manufacturing and transport",Food preparation assistants,Street and related sales and service workers,Refuse workers and other elementary workers,Not stated,Total
 Male,1,-,-,-,-,-,1,-,-,1,-,2,18,-,-,5,-,-,-,2,43,2,28,1151,-,-,60,7,17,-,7,1,-,15,3,86,48,-,-,12,173,1683
 Female,-,-,-,-,-,-,9,-,-,1,-,3,12,-,-,3,3,-,2,3,93,-,1,397,-,-,4,-,-,-,2,-,-,-,6,10,4,-,-,16,207,776
 Total,1,-,-,-,-,-,10,-,-,2,-,5,30,-,-,8,3,-,2,5,136,2,29,1548,-,-,64,7,17,-,9,1,-,15,9,96,52,-,-,28,380,2459
NotApp :,3747,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
AREA # 131001,Makman,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Sex,Occupation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
