Identity_card,Sex_Male,Sex_Female,Sex_Total
 National Registration Card (3-fold),74,84,158
 Religious card,79,1,80
 Temporary Registration Card (white),42,35,77
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,4,4,8
 None,2506,2320,4826
 Child under 10 years,3013,2957,5970
 Total,14054,14586,28640
AREA # 130303,Maukme`,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),8886,8495,17381
 Associate Scrutiny Card (blue),4,5,9
 Naturalised Scrutiny Card (green),12,3,15
 National Registration Card (3-fold),18,4,22
 Religious card,161,2,163
 Temporary Registration Card (white),5,-,5
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,2,4,6
 None,3303,4594,7897
 Child under 10 years,4154,4157,8311
 Total,16546,17264,33810
AREA # 130304,Minepan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),7483,6298,13781
 Associate Scrutiny Card (blue),7,4,11
 Naturalised Scrutiny Card (green),27,9,36
 National Registration Card (3-fold),62,57,119
 Religious card,81,4,85
 Temporary Registration Card (white),12,10,22
 Foreign Passport,2,2,4
 None,3881,3519,7400
 Child under 10 years,2274,2194,4468
 Total,13829,12097,25926
AREA # 130351,Homane(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1926,1808,3734
 Naturalised Scrutiny Card (green),26,16,42
 National Registration Card (3-fold),4,7,11
 Religious card,19,-,19
 Temporary Registration Card (white),86,72,158
 Foreign Registration Card (FRC),1,-,1
 None,870,770,1640
 Child under 10 years,591,634,1225
 Total,3523,3307,6830
AREA # 130352,Kengtaung(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4181,3297,7478
 Associate Scrutiny Card (blue),1,2,3
 Naturalised Scrutiny Card (green),5,-,5
 National Registration Card (3-fold),28,19,47
 Religious card,29,-,29
 Temporary Registration Card (white),15,11,26
 Foreign Passport,1,-,1
 None,764,583,1347
 Child under 10 years,913,947,1860
 Total,5937,4859,10796
AREA # 130401,Lashio,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),74206,79710,153916
 Associate Scrutiny Card (blue),237,199,436
 Naturalised Scrutiny Card (green),1062,586,1648
 National Registration Card (3-fold),7171,7448,14619
 Religious card,1110,195,1305
 Temporary Registration Card (white),831,906,1737
 Foreign Registration Card (FRC),35,52,87
 Foreign Passport,100,46,146
 None,42476,45358,87834
 Child under 10 years,31284,30393,61677
 Total,158512,164893,323405
AREA # 130402,Theinni,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15176,14969,30145
 Associate Scrutiny Card (blue),8,13,21
 Naturalised Scrutiny Card (green),104,52,156
 National Registration Card (3-fold),1075,1158,2233
 Religious card,126,24,150
 Temporary Registration Card (white),391,409,800
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,-,2,2
 None,5590,5568,11158
 Child under 10 years,6131,5860,11991
 Total,28604,28058,56662
AREA # 130403,Mineye`,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9534,9020,18554
 Associate Scrutiny Card (blue),17,17,34
 Naturalised Scrutiny Card (green),126,65,191
 National Registration Card (3-fold),1204,1468,2672
 Religious card,144,4,148
 Temporary Registration Card (white),55,81,136
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,-,5,5
 None,11206,13993,25199
 Child under 10 years,6103,6331,12434
 Total,28391,30985,59376
AREA # 130404,Tantyan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),25260,22636,47896
 Associate Scrutiny Card (blue),45,49,94
 Naturalised Scrutiny Card (green),546,259,805
 National Registration Card (3-fold),3395,3705,7100
 Religious card,386,31,417
 Temporary Registration Card (white),116,140,256
 Foreign Registration Card (FRC),16,16,32
 Foreign Passport,22,13,35
 None,34471,42119,76590
 Child under 10 years,19766,19814,39580
 Total,84023,88782,172805
AREA # 130501,MuSe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),39599,35981,75580
 Associate Scrutiny Card (blue),116,111,227
 Naturalised Scrutiny Card (green),465,217,682
 National Registration Card (3-fold),2071,2655,4726
 Religious card,271,76,347
 Temporary Registration Card (white),224,221,445
 Foreign Registration Card (FRC),14,10,24
 Foreign Passport,68,33,101
 None,8036,7636,15672
 Child under 10 years,10082,9621,19703
 Total,60946,56561,117507
AREA # 130502,Namkham,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),26467,30499,56966
 Associate Scrutiny Card (blue),56,61,117
 Naturalised Scrutiny Card (green),287,158,445
 National Registration Card (3-fold),881,1053,1934
 Religious card,226,89,315
 Temporary Registration Card (white),669,609,1278
 Foreign Registration Card (FRC),26,4,30
 Foreign Passport,137,26,163
 None,11602,12309,23911
 Child under 10 years,10964,10911,21875
 Total,51315,55719,107034
AREA # 130503,Kukai,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),19150,18794,37944
 Associate Scrutiny Card (blue),52,51,103
 Naturalised Scrutiny Card (green),267,123,390
 National Registration Card (3-fold),2642,2906,5548
 Religious card,101,13,114
 Temporary Registration Card (white),247,211,458
 Foreign Registration Card (FRC),15,17,32
 Foreign Passport,19,10,29
 None,15719,17012,32731
 Child under 10 years,12035,11950,23985
 Total,50247,51087,101334
AREA # 130551,Monekoe(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1445,1534,2979
 Associate Scrutiny Card (blue),9,5,14
 Naturalised Scrutiny Card (green),506,413,919
 National Registration Card (3-fold),1973,1709,3682
 Religious card,14,21,35
 Temporary Registration Card (white),1613,1551,3164
 Foreign Registration Card (FRC),21,11,32
 Foreign Passport,11,7,18
 None,4303,3920,8223
 Child under 10 years,2850,2649,5499
 Total,12745,11820,24565
AREA # 130552,Manhero(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2208,2442,4650
 Naturalised Scrutiny Card (green),6,6,12
 National Registration Card (3-fold),137,262,399
 Religious card,20,-,20
 Temporary Registration Card (white),1,2,3
 Foreign Registration Card (FRC),6,5,11
 None,336,279,615
 Child under 10 years,528,549,1077
 Total,3242,3545,6787
AREA # 130553,Pansai(KyuKute)(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4860,5169,10029
 Associate Scrutiny Card (blue),8,15,23
 Naturalised Scrutiny Card (green),123,75,198
 National Registration Card (3-fold),931,1039,1970
 Religious card,36,18,54
 Temporary Registration Card (white),350,337,687
 Foreign Registration Card (FRC),9,5,14
 Foreign Passport,5,6,11
 None,2749,2524,5273
 Child under 10 years,2398,2293,4691
 Total,11469,11481,22950
AREA # 130554,Tamoenye(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9076,8419,17495
 Associate Scrutiny Card (blue),11,13,24
 Naturalised Scrutiny Card (green),283,122,405
 National Registration Card (3-fold),4135,3228,7363
 Religious card,46,7,53
 Temporary Registration Card (white),380,330,710
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,5,9,14
 None,14353,15086,29439
 Child under 10 years,8906,8908,17814
 Total,37195,36123,73318
AREA # 130601,Kyukme,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),35051,39018,74069
 Associate Scrutiny Card (blue),182,185,367
 Naturalised Scrutiny Card (green),357,300,657
 National Registration Card (3-fold),1118,1519,2637
 Religious card,404,73,477
 Temporary Registration Card (white),121,127,248
 Foreign Registration Card (FRC),38,51,89
 Foreign Passport,14,9,23
 None,12305,12833,25138
 Child under 10 years,12054,11801,23855
 Total,61644,65916,127560
AREA # 130602,Naungkhio,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),44868,44480,89348
 Associate Scrutiny Card (blue),37,34,71
 Naturalised Scrutiny Card (green),325,126,451
 National Registration Card (3-fold),1117,1239,2356
 Religious card,389,42,431
 Temporary Registration Card (white),207,177,384
 Foreign Registration Card (FRC),56,25,81
 Foreign Passport,90,7,97
 None,14449,14298,28747
 Child under 10 years,14223,13653,27876
 Total,75761,74081,149842
AREA # 130603,Hsipaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),37422,34837,72259
 Associate Scrutiny Card (blue),69,61,130
 Naturalised Scrutiny Card (green),473,231,704
 National Registration Card (3-fold),2012,2507,4519
 Religious card,436,105,541
 Temporary Registration Card (white),133,134,267
 Foreign Registration Card (FRC),29,23,52
 Foreign Passport,47,32,79
 None,27775,35026,62801
 Child under 10 years,17440,17366,34806
 Total,85836,90322,176158
AREA # 130604,Namtu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),13391,14813,28204
 Associate Scrutiny Card (blue),26,19,45
 Naturalised Scrutiny Card (green),298,287,585
 National Registration Card (3-fold),423,526,949
 Religious card,148,7,155
 Temporary Registration Card (white),53,55,108
 Foreign Registration Card (FRC),33,16,49
 Foreign Passport,14,1,15
 None,4533,4861,9394
 Child under 10 years,5529,5390,10919
 Total,24448,25975,50423
AREA # 130605,Namsan(North),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),17039,21188,38227
 Associate Scrutiny Card (blue),66,62,128
 Naturalised Scrutiny Card (green),112,100,212
 National Registration Card (3-fold),204,378,582
 Religious card,311,205,516
 Temporary Registration Card (white),40,43,83
 Foreign Registration Card (FRC),25,10,35
 Foreign Passport,8,3,11
 None,6887,9486,16373
 Child under 10 years,8016,8021,16037
 Total,32708,39496,72204
AREA # 130606,Momeik,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),17505,18277,35782
 Associate Scrutiny Card (blue),15,22,37
 Naturalised Scrutiny Card (green),58,31,89
 National Registration Card (3-fold),351,456,807
 Religious card,222,53,275
 Temporary Registration Card (white),47,46,93
 Foreign Registration Card (FRC),6,6,12
 Foreign Passport,3,8,11
 None,6896,6821,13717
 Child under 10 years,6442,6065,12507
 Total,31545,31785,63330
AREA # 130607,Mabane,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15582,14701,30283
 Associate Scrutiny Card (blue),7,6,13
 Naturalised Scrutiny Card (green),37,16,53
 National Registration Card (3-fold),59,45,104
 Religious card,154,8,162
 Temporary Registration Card (white),57,54,111
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,4,9,13
 None,4039,3801,7840
 Child under 10 years,4555,4263,8818
 Total,24494,22904,47398
AREA # 130608,Manton,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),7129,6215,13344
 Associate Scrutiny Card (blue),41,30,71
 Naturalised Scrutiny Card (green),102,74,176
 National Registration Card (3-fold),232,261,493
 Religious card,54,6,60
 Temporary Registration Card (white),27,27,54
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,6,5,11
 None,5831,8209,14040
 Child under 10 years,5137,5209,10346
 Total,18562,20039,38601
AREA # 130651,Minengaw(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4614,5468,10082
 Associate Scrutiny Card (blue),11,16,27
 Naturalised Scrutiny Card (green),57,39,96
 National Registration Card (3-fold),133,176,309
 Religious card,96,4,100
 Temporary Registration Card (white),15,15,30
 Foreign Registration Card (FRC),4,5,9
 Foreign Passport,4,5,9
 None,1671,2170,3841
 Child under 10 years,2228,2170,4398
 Total,8833,10068,18901
AREA # 130652,Minelon(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6063,6277,12340
 Associate Scrutiny Card (blue),4,5,9
 Naturalised Scrutiny Card (green),31,14,45
 National Registration Card (3-fold),178,336,514
 Religious card,111,9,120
 Temporary Registration Card (white),11,21,32
 Foreign Registration Card (FRC),1,2,3
 Foreign Passport,15,1,16
 None,2998,3993,6991
 Child under 10 years,2860,2718,5578
 Total,12272,13376,25648
AREA # 130701,Kunlon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),11466,9686,21152
 Associate Scrutiny Card (blue),48,12,60
 Naturalised Scrutiny Card (green),175,61,236
 National Registration Card (3-fold),4208,3563,7771
 Religious card,67,30,97
 Temporary Registration Card (white),283,258,541
 Foreign Registration Card (FRC),22,4,26
 Foreign Passport,11,5,16
 None,7014,6988,14002
 Child under 10 years,7606,7267,14873
 Total,30900,27874,58774
AREA # 130801,Laukine,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6419,4516,10935
 Associate Scrutiny Card (blue),13,6,19
 Naturalised Scrutiny Card (green),543,84,627
 National Registration Card (3-fold),13839,13244,27083
 Religious card,25,4,29
 Temporary Registration Card (white),570,494,1064
 Foreign Registration Card (FRC),956,527,1483
 Foreign Passport,239,156,395
 None,14917,13801,28718
 Child under 10 years,9874,9734,19608
 Total,47395,42566,89961
AREA # 130802,Kongyan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),341,208,549
 Associate Scrutiny Card (blue),-,3,3
 Naturalised Scrutiny Card (green),53,33,86
 National Registration Card (3-fold),5998,4902,10900
 Religious card,4,-,4
 Temporary Registration Card (white),18,17,35
 Foreign Passport,2,1,3
 None,6474,6630,13104
 Child under 10 years,4582,4506,9088
 Total,17472,16300,33772
AREA # 130851,Chinshwehaw(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1169,850,2019
 Naturalised Scrutiny Card (green),16,9,25
 National Registration Card (3-fold),398,383,781
 Religious card,8,7,15
 Temporary Registration Card (white),9,3,12
 Foreign Registration Card (FRC),68,29,97
 Foreign Passport,2,1,3
 None,458,473,931
 Child under 10 years,510,496,1006
 Total,2638,2251,4889
AREA # 130852,Mawhtike(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),294,245,539
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),51,18,69
 National Registration Card (3-fold),4895,4115,9010
 Religious card,3,2,5
 Temporary Registration Card (white),11,6,17
 Foreign Registration Card (FRC),5,1,6
 Foreign Passport,34,40,74
 None,5587,5664,11251
 Child under 10 years,2718,2599,5317
 Total,13599,12691,26290
AREA # 130901,Hopan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),5836,5259,11095
 Associate Scrutiny Card (blue),10,15,25
 Naturalised Scrutiny Card (green),50,26,76
 National Registration Card (3-fold),918,940,1858
 Religious card,76,10,86
 Temporary Registration Card (white),272,283,555
 Foreign Registration Card (FRC),8,8,16
 Foreign Passport,6,6,12
 None,14402,13722,28124
 Child under 10 years,6691,6356,13047
 Total,28269,26625,54894
AREA # 130902,Minemaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),482,485,967
 Associate Scrutiny Card (blue),62,41,103
 Naturalised Scrutiny Card (green),42,36,78
 National Registration Card (3-fold),4,1,5
 Religious card,1,1,2
 Temporary Registration Card (white),43,31,74
 Foreign Registration Card (FRC),6,4,10
 Foreign Passport,28,31,59
 None,26379,24563,50942
 Child under 10 years,9266,9177,18443
 Total,36313,34370,70683
AREA # 130903,Panwine,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),641,476,1117
 Associate Scrutiny Card (blue),33,33,66
 Naturalised Scrutiny Card (green),63,51,114
 National Registration Card (3-fold),1,-,1
 Religious card,1,-,1
 Temporary Registration Card (white),35,16,51
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,28,21,49
 None,35564,34974,70538
 Child under 10 years,12422,12732,25154
 Total,48791,48306,97097
AREA # 130952,Panlon(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),1357,1190,2547
 Associate Scrutiny Card (blue),2,2,4
 Naturalised Scrutiny Card (green),9,2,11
 National Registration Card (3-fold),62,66,128
 Religious card,13,5,18
 Temporary Registration Card (white),54,63,117
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,1,-,1
 None,892,900,1792
 Child under 10 years,809,778,1587
 Total,3200,3006,6206
AREA # 131001,Makman,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),3747,2859,6606
 Associate Scrutiny Card (blue),2,3,5
 Naturalised Scrutiny Card (green),10,6,16
 National Registration Card (3-fold),13,9,22
 Religious card,32,1,33
 Temporary Registration Card (white),3,1,4
 Foreign Passport,-,4,4
 None,3251,3858,7109
 Child under 10 years,3010,2923,5933
 Total,10068,9664,19732
AREA # 131002,Pan San(Pan Kham),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4934,3696,8630
 Associate Scrutiny Card (blue),250,243,493
 Naturalised Scrutiny Card (green),74,28,102
 National Registration Card (3-fold),225,171,396
 Religious card,179,24,203
 Temporary Registration Card (white),310,266,576
 Foreign Registration Card (FRC),541,278,819
 Foreign Passport,154,52,206
 None,35087,33254,68341
 Child under 10 years,12447,12116,24563
 Total,54201,50128,104329
AREA # 131003,Naphang,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),598,319,917
 Associate Scrutiny Card (blue),11,7,18
 Naturalised Scrutiny Card (green),55,31,86
 National Registration Card (3-fold),2,1,3
 Religious card,3,3,6
 Temporary Registration Card (white),473,357,830
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,18,18,36
 None,42946,41181,84127
 Child under 10 years,15262,14893,30155
 Total,59369,56811,116180
AREA # 131051,ManKan(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),336,348,684
 Naturalised Scrutiny Card (green),6,3,9
 National Registration Card (3-fold),30,19,49
 Religious card,3,-,3
 None,266,234,500
 Child under 10 years,199,199,398
 Total,840,803,1643
AREA # 131101,Kengtung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),57491,56322,113813
 Associate Scrutiny Card (blue),68,94,162
 Naturalised Scrutiny Card (green),106,98,204
 National Registration Card (3-fold),179,234,413
 Religious card,557,20,577
 Temporary Registration Card (white),284,243,527
 Foreign Registration Card (FRC),21,8,29
 Foreign Passport,57,79,136
 None,11250,9763,21013
 Child under 10 years,17766,16980,34746
 Total,87779,83841,171620
AREA # 131102,Minekat,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9357,8099,17456
 Associate Scrutiny Card (blue),2,7,9
 Naturalised Scrutiny Card (green),12,13,25
 National Registration Card (3-fold),4,8,12
 Religious card,64,2,66
 Temporary Registration Card (white),41,38,79
 Foreign Registration Card (FRC),81,81,162
 Foreign Passport,6,4,10
 None,8140,8038,16178
 Child under 10 years,5166,5365,10531
 Total,22873,21655,44528
AREA # 131103,Mineyan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),7992,7654,15646
 Associate Scrutiny Card (blue),23,17,40
 Naturalised Scrutiny Card (green),19,14,33
 National Registration Card (3-fold),80,85,165
 Religious card,74,1,75
 Temporary Registration Card (white),136,134,270
 Foreign Registration Card (FRC),123,82,205
 Foreign Passport,16,14,30
 None,13036,12254,25290
 Child under 10 years,5481,5356,10837
 Total,26980,25611,52591
AREA # 131104,Minelar,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),7165,7414,14579
 Associate Scrutiny Card (blue),11,13,24
 Naturalised Scrutiny Card (green),21,10,31
 National Registration Card (3-fold),144,184,328
 Religious card,14,2,16
 Temporary Registration Card (white),272,261,533
 Foreign Registration Card (FRC),376,210,586
 Foreign Passport,4375,3418,7793
 None,6915,6253,13168
 Child under 10 years,2973,3037,6010
 Total,22266,20802,43068
AREA # 131151,Mine Pauk(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),2134,1928,4062
 Associate Scrutiny Card (blue),15,13,28
 Naturalised Scrutiny Card (green),10,10,20
 National Registration Card (3-fold),4,4,8
 Religious card,6,3,9
 Temporary Registration Card (white),49,44,93
 Foreign Registration Card (FRC),92,76,168
 Foreign Passport,5,8,13
 None,19582,18792,38374
 Child under 10 years,6198,6081,12279
 Total,28095,26959,55054
AREA # 131201,Minesat,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),17771,15112,32883
 Associate Scrutiny Card (blue),30,30,60
 Naturalised Scrutiny Card (green),26,10,36
 National Registration Card (3-fold),39,36,75
 Religious card,93,9,102
 Temporary Registration Card (white),286,280,566
 Foreign Registration Card (FRC),3,1,4
 Foreign Passport,6,3,9
 None,15506,13646,29152
 Child under 10 years,11971,11695,23666
 Total,45731,40822,86553
AREA # 131202,Minepyin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),12944,11711,24655
 Associate Scrutiny Card (blue),4,5,9
 Naturalised Scrutiny Card (green),22,15,37
 National Registration Card (3-fold),31,17,48
 Religious card,108,5,113
 Temporary Registration Card (white),47,60,107
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,3,-,3
 None,7183,7894,15077
 Child under 10 years,7087,7012,14099
 Total,27430,26719,54149
AREA # 131203,Minetung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6869,5540,12409
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),6,4,10
 National Registration Card (3-fold),12,8,20
 Religious card,52,6,58
 Temporary Registration Card (white),54,54,108
 None,2300,1663,3963
 Child under 10 years,2725,2699,5424
 Total,12018,9976,21994
AREA # 131251,Minekoke(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),5163,4441,9604
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),4,1,5
 National Registration Card (3-fold),9,8,17
 Religious card,7,-,7
 Temporary Registration Card (white),5,7,12
 Foreign Registration Card (FRC),9,-,9
 Foreign Passport,2,-,2
 None,1558,1369,2927
 Child under 10 years,2785,2726,5511
 Total,9543,8553,18096
AREA # 131252,Tontar(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4171,3874,8045
 Associate Scrutiny Card (blue),-,1,1
 Naturalised Scrutiny Card (green),5,2,7
 National Registration Card (3-fold),21,31,52
 Religious card,9,-,9
 Temporary Registration Card (white),5,6,11
 Foreign Passport,1,-,1
 None,1347,1222,2569
 Child under 10 years,2003,1986,3989
 Total,7562,7122,14684
AREA # 131253,Ponparkyin(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6990,6310,13300
 Associate Scrutiny Card (blue),11,10,21
 Naturalised Scrutiny Card (green),17,3,20
 National Registration Card (3-fold),32,32,64
 Religious card,36,4,40
 Temporary Registration Card (white),220,235,455
 Foreign Registration Card (FRC),2,1,3
 Foreign Passport,15,19,34
 None,11248,8453,19701
 Child under 10 years,5235,4946,10181
 Total,23806,20013,43819
AREA # 131254,Monehta(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),361,390,751
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),3,-,3
 National Registration Card (3-fold),1,-,1
 Religious card,4,2,6
 Temporary Registration Card (white),46,48,94
 Foreign Passport,-,1,1
 None,1494,748,2242
 Child under 10 years,591,585,1176
 Total,2500,1776,4276
AREA # 131301,Tachileik,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),51150,51674,102824
 Associate Scrutiny Card (blue),64,52,116
 Naturalised Scrutiny Card (green),126,57,183
 National Registration Card (3-fold),240,357,597
 Religious card,531,23,554
 Temporary Registration Card (white),402,349,751
 Foreign Registration Card (FRC),28,9,37
 Foreign Passport,164,79,243
 None,8682,7474,16156
 Child under 10 years,13440,13120,26560
 Total,74827,73194,148021
AREA # 131351,Talay(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6728,6175,12903
 Associate Scrutiny Card (blue),2,1,3
 Naturalised Scrutiny Card (green),8,5,13
 National Registration Card (3-fold),37,51,88
 Religious card,91,-,91
 Temporary Registration Card (white),17,19,36
 None,811,656,1467
 Child under 10 years,1809,1838,3647
 Total,9503,8745,18248
AREA # 131352,Kenglat(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4114,3673,7787
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),7,2,9
 National Registration Card (3-fold),34,40,74
 Religious card,10,-,10
 Temporary Registration Card (white),14,6,20
 Foreign Registration Card (FRC),2,-,2
 None,436,382,818
 Child under 10 years,1177,1145,2322
 Total,5794,5250,11044
AREA # 131401,Minephyat,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),10533,9111,19644
 Associate Scrutiny Card (blue),-,2,2
 Naturalised Scrutiny Card (green),8,12,20
 National Registration Card (3-fold),19,26,45
 Religious card,83,-,83
 Temporary Registration Card (white),23,14,37
 Foreign Passport,2,2,4
 None,1781,1492,3273
 Child under 10 years,3760,3688,7448
 Total,16209,14347,30556
AREA # 131402,Mineyaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),10653,9857,20510
 Associate Scrutiny Card (blue),5,2,7
 Naturalised Scrutiny Card (green),8,1,9
 National Registration Card (3-fold),71,70,141
 Religious card,109,-,109
 Temporary Registration Card (white),14,7,21
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,1,-,1
 None,1449,1011,2460
 Child under 10 years,2099,2200,4299
 Total,14410,13149,27559
AREA # 131451,Mineyu(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),7916,6419,14335
 Associate Scrutiny Card (blue),47,42,89
 Naturalised Scrutiny Card (green),47,36,83
 National Registration Card (3-fold),15,3,18
 Religious card,21,2,23
 Temporary Registration Card (white),494,480,974
 Foreign Registration Card (FRC),271,167,438
 Foreign Passport,135,85,220
 None,13141,12470,25611
 Child under 10 years,5377,5163,10540
 Total,27464,24867,52331
AREA # 140101,Kangyidaunt,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),50364,52091,102455
 Associate Scrutiny Card (blue),49,44,93
 Naturalised Scrutiny Card (green),65,43,108
 National Registration Card (3-fold),123,175,298
 Religious card,448,26,474
 Temporary Registration Card (white),95,48,143
 Foreign Registration Card (FRC),6,10,16
 Foreign Passport,14,11,25
 None,18148,21454,39602
 Child under 10 years,17585,17191,34776
 Total,86897,91093,177990
AREA # 140102,Kyaungon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),45690,47338,93028
 Associate Scrutiny Card (blue),13,12,25
 Naturalised Scrutiny Card (green),90,63,153
 National Registration Card (3-fold),236,339,575
 Religious card,380,19,399
 Temporary Registration Card (white),96,86,182
 Foreign Registration Card (FRC),3,1,4
 Foreign Passport,19,13,32
 None,16886,21685,38571
 Child under 10 years,15342,14724,30066
 Total,78755,84280,163035
AREA # 140103,Kyonpyaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),63561,63961,127522
