Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Pit (Traditional pit latrine),66,563,629,Wundwin,MMR010031
 Bucket (Surface latrine),2,54,56,Wundwin,MMR010031
 Other,14,101,115,Wundwin,MMR010031
 No toilet,449,9203,9652,Wundwin,MMR010031
 Total,7300,46269,53569,Wundwin,MMR010031
 Flush,1017,147,1164,Mawlamyine,MMR011001
 Water seal (Improved pit latrine),46592,6294,52886,Mawlamyine,MMR011001
 Pit (Traditional pit latrine),765,383,1148,Mawlamyine,MMR011001
 Bucket (Surface latrine),271,39,310,Mawlamyine,MMR011001
 Other,61,18,79,Mawlamyine,MMR011001
 No toilet,1028,842,1870,Mawlamyine,MMR011001
 Total,49734,7723,57457,Mawlamyine,MMR011001
 Flush,108,374,482,Kyaikemaraw,MMR011002
 Water seal (Improved pit latrine),1790,25240,27030,Kyaikemaraw,MMR011002
 Pit (Traditional pit latrine),92,1365,1457,Kyaikemaraw,MMR011002
 Bucket (Surface latrine),7,183,190,Kyaikemaraw,MMR011002
 Other,12,201,213,Kyaikemaraw,MMR011002
 No toilet,167,9349,9516,Kyaikemaraw,MMR011002
 Total,2176,36712,38888,Kyaikemaraw,MMR011002
 Flush,18,110,128,Chaungzon,MMR011003
 Water seal (Improved pit latrine),1622,20127,21749,Chaungzon,MMR011003
 Pit (Traditional pit latrine),13,863,876,Chaungzon,MMR011003
 Bucket (Surface latrine),8,696,704,Chaungzon,MMR011003
 Other,2,166,168,Chaungzon,MMR011003
 No toilet,81,4238,4319,Chaungzon,MMR011003
 Total,1744,26200,27944,Chaungzon,MMR011003
 Flush,159,200,359,Thanbyuzayat,MMR011004
 Water seal (Improved pit latrine),10151,18430,28581,Thanbyuzayat,MMR011004
 Pit (Traditional pit latrine),271,792,1063,Thanbyuzayat,MMR011004
 Bucket (Surface latrine),112,201,313,Thanbyuzayat,MMR011004
 Other,219,240,459,Thanbyuzayat,MMR011004
 No toilet,803,4656,5459,Thanbyuzayat,MMR011004
 Total,11715,24519,36234,Thanbyuzayat,MMR011004
 Flush,124,298,422,Mudon,MMR011005
 Water seal (Improved pit latrine),10361,25003,35364,Mudon,MMR011005
 Pit (Traditional pit latrine),106,723,829,Mudon,MMR011005
 Bucket (Surface latrine),8,93,101,Mudon,MMR011005
 Other,11,162,173,Mudon,MMR011005
 No toilet,182,2241,2423,Mudon,MMR011005
 Total,10792,28520,39312,Mudon,MMR011005
 Flush,81,424,505,Ye,MMR011006
 Water seal (Improved pit latrine),5391,15175,20566,Ye,MMR011006
 Pit (Traditional pit latrine),396,1974,2370,Ye,MMR011006
 Bucket (Surface latrine),29,500,529,Ye,MMR011006
 Other,29,266,295,Ye,MMR011006
 No toilet,187,5539,5726,Ye,MMR011006
 Total,6113,23878,29991,Ye,MMR011006
 Flush,31,69,100,Lamine,MMR011006
 Water seal (Improved pit latrine),2729,11856,14585,Lamine,MMR011006
 Pit (Traditional pit latrine),37,263,300,Lamine,MMR011006
 Bucket (Surface latrine),5,58,63,Lamine,MMR011006
 Other,4,97,101,Lamine,MMR011006
 No toilet,161,3329,3490,Lamine,MMR011006
 Total,2967,15672,18639,Lamine,MMR011006
 Flush,73,182,255,Khawzar,MMR011006
 Water seal (Improved pit latrine),596,2452,3048,Khawzar,MMR011006
 Pit (Traditional pit latrine),2,170,172,Khawzar,MMR011006
 Bucket (Surface latrine),2,19,21,Khawzar,MMR011006
 Other,1,15,16,Khawzar,MMR011006
 No toilet,104,1202,1306,Khawzar,MMR011006
 Total,778,4040,4818,Khawzar,MMR011006
 Flush,126,388,514,Thaton,MMR011007
 Water seal (Improved pit latrine),9660,25996,35656,Thaton,MMR011007
 Pit (Traditional pit latrine),100,774,874,Thaton,MMR011007
 Bucket (Surface latrine),166,349,515,Thaton,MMR011007
 Other,36,307,343,Thaton,MMR011007
 No toilet,618,9764,10382,Thaton,MMR011007
 Total,10706,37578,48284,Thaton,MMR011007
 Flush,70,238,308,Paung,MMR011008
 Water seal (Improved pit latrine),5080,27107,32187,Paung,MMR011008
 Pit (Traditional pit latrine),58,890,948,Paung,MMR011008
 Bucket (Surface latrine),85,1614,1699,Paung,MMR011008
 Other,11,407,418,Paung,MMR011008
 No toilet,598,7568,8166,Paung,MMR011008
 Total,5902,37824,43726,Paung,MMR011008
 Flush,123,266,389,Kyaikto,MMR011009
 Water seal (Improved pit latrine),6288,23196,29484,Kyaikto,MMR011009
 Pit (Traditional pit latrine),149,1381,1530,Kyaikto,MMR011009
 Bucket (Surface latrine),172,474,646,Kyaikto,MMR011009
 Other,44,253,297,Kyaikto,MMR011009
 No toilet,740,5002,5742,Kyaikto,MMR011009
 Total,7516,30572,38088,Kyaikto,MMR011009
 Flush,55,519,574,Bilin,MMR011010
 Water seal (Improved pit latrine),3635,22727,26362,Bilin,MMR011010
 Pit (Traditional pit latrine),189,694,883,Bilin,MMR011010
 Bucket (Surface latrine),6,730,736,Bilin,MMR011010
 Other,19,403,422,Bilin,MMR011010
 No toilet,140,10114,10254,Bilin,MMR011010
 Total,4044,35187,39231,Bilin,MMR011010
 Flush,345,44,389,Sittway,MMR012001
 Water seal (Improved pit latrine),15469,4451,19920,Sittway,MMR012001
 Pit (Traditional pit latrine),237,33,270,Sittway,MMR012001
 Bucket (Surface latrine),303,59,362,Sittway,MMR012001
 Other,64,31,95,Sittway,MMR012001
 No toilet,2488,5512,8000,Sittway,MMR012001
 Total,18906,10130,29036,Sittway,MMR012001
 Flush,8,77,85,Ponnagyun,MMR012002
 Water seal (Improved pit latrine),1524,1840,3364,Ponnagyun,MMR012002
 Pit (Traditional pit latrine),32,98,130,Ponnagyun,MMR012002
 Bucket (Surface latrine),66,400,466,Ponnagyun,MMR012002
 Other,11,175,186,Ponnagyun,MMR012002
 No toilet,825,20279,21104,Ponnagyun,MMR012002
 Total,2466,22869,25335,Ponnagyun,MMR012002
 Flush,17,83,100,Pauktaw,MMR012007
 Water seal (Improved pit latrine),1261,2070,3331,Pauktaw,MMR012007
 Pit (Traditional pit latrine),17,123,140,Pauktaw,MMR012007
 Bucket (Surface latrine),157,1591,1748,Pauktaw,MMR012007
 Other,83,234,317,Pauktaw,MMR012007
 No toilet,935,23973,24908,Pauktaw,MMR012007
 Total,2470,28074,30544,Pauktaw,MMR012007
 Flush,45,106,151,Yethedaung,MMR012008
 Water seal (Improved pit latrine),920,2700,3620,Yethedaung,MMR012008
 Pit (Traditional pit latrine),14,122,136,Yethedaung,MMR012008
 Bucket (Surface latrine),7,79,86,Yethedaung,MMR012008
 Other,12,142,154,Yethedaung,MMR012008
 No toilet,512,19682,20194,Yethedaung,MMR012008
 Total,1510,22831,24341,Yethedaung,MMR012008
 Flush,29,180,209,Myauk U,MMR012003
 Water seal (Improved pit latrine),4119,4073,8192,Myauk U,MMR012003
 Pit (Traditional pit latrine),111,361,472,Myauk U,MMR012003
 Bucket (Surface latrine),307,2179,2486,Myauk U,MMR012003
 Other,5,200,205,Myauk U,MMR012003
 No toilet,2703,27258,29961,Myauk U,MMR012003
 Total,7274,34251,41525,Myauk U,MMR012003
 Flush,67,199,266,Kyauktaw,MMR012004
 Water seal (Improved pit latrine),2560,5083,7643,Kyauktaw,MMR012004
 Pit (Traditional pit latrine),87,360,447,Kyauktaw,MMR012004
 Bucket (Surface latrine),314,947,1261,Kyauktaw,MMR012004
 Other,12,334,346,Kyauktaw,MMR012004
 No toilet,799,25733,26532,Kyauktaw,MMR012004
 Total,3839,32656,36495,Kyauktaw,MMR012004
 Flush,10,55,65,Minbya,MMR012005
 Water seal (Improved pit latrine),2879,2999,5878,Minbya,MMR012005
 Pit (Traditional pit latrine),81,196,277,Minbya,MMR012005
 Bucket (Surface latrine),488,1451,1939,Minbya,MMR012005
 Other,30,320,350,Minbya,MMR012005
 No toilet,1127,26992,28119,Minbya,MMR012005
 Total,4615,32013,36628,Minbya,MMR012005
 Flush,14,168,182,Myebon,MMR012006
 Water seal (Improved pit latrine),1885,3047,4932,Myebon,MMR012006
 Pit (Traditional pit latrine),6,100,106,Myebon,MMR012006
 Bucket (Surface latrine),71,466,537,Myebon,MMR012006
 Other,1,1234,1235,Myebon,MMR012006
 No toilet,641,23706,24347,Myebon,MMR012006
 Total,2618,28721,31339,Myebon,MMR012006
 Flush,38,61,99,Maungtaw,MMR012009
 Water seal (Improved pit latrine),1822,2891,4713,Maungtaw,MMR012009
 Pit (Traditional pit latrine),82,81,163,Maungtaw,MMR012009
 Bucket (Surface latrine),13,85,98,Maungtaw,MMR012009
 Other,12,40,52,Maungtaw,MMR012009
 No toilet,347,1918,2265,Maungtaw,MMR012009
 Total,2314,5076,7390,Maungtaw,MMR012009
 Flush,31,34,65,Buthidaung,MMR012010
 Water seal (Improved pit latrine),1689,2617,4306,Buthidaung,MMR012010
 Pit (Traditional pit latrine),21,24,45,Buthidaung,MMR012010
 Bucket (Surface latrine),7,25,32,Buthidaung,MMR012010
 Other,15,229,244,Buthidaung,MMR012010
 No toilet,299,6273,6572,Buthidaung,MMR012010
 Total,2062,9202,11264,Buthidaung,MMR012010
 Flush,2,-,2,Taungpyoletwe(ST),MMR012009
 Water seal (Improved pit latrine),148,39,187,Taungpyoletwe(ST),MMR012009
 Pit (Traditional pit latrine),-,6,6,Taungpyoletwe(ST),MMR012009
 Bucket (Surface latrine),-,3,3,Taungpyoletwe(ST),MMR012009
 Other,-,1,1,Taungpyoletwe(ST),MMR012009
 No toilet,8,299,307,Taungpyoletwe(ST),MMR012009
 Total,158,348,506,Taungpyoletwe(ST),MMR012009
 Flush,69,139,208,Kyaukpyu,MMR012011
 Water seal (Improved pit latrine),3571,6633,10204,Kyaukpyu,MMR012011
 Pit (Traditional pit latrine),102,303,405,Kyaukpyu,MMR012011
 Bucket (Surface latrine),70,493,563,Kyaukpyu,MMR012011
 Other,46,275,321,Kyaukpyu,MMR012011
 No toilet,396,25167,25563,Kyaukpyu,MMR012011
 Total,4254,33010,37264,Kyaukpyu,MMR012011
 Flush,5,68,73,Mannaung,MMR017011
 Water seal (Improved pit latrine),1011,3158,4169,Mannaung,MMR017011
 Pit (Traditional pit latrine),6,373,379,Mannaung,MMR017011
 Bucket (Surface latrine),69,346,415,Mannaung,MMR017011
 Other,2,56,58,Mannaung,MMR017011
 No toilet,213,9428,9641,Mannaung,MMR017011
 Total,1306,13429,14735,Mannaung,MMR017011
 Flush,6,217,223,Yanbye,MMR012013
 Water seal (Improved pit latrine),1142,3365,4507,Yanbye,MMR012013
 Pit (Traditional pit latrine),26,102,128,Yanbye,MMR012013
 Bucket (Surface latrine),197,115,312,Yanbye,MMR012013
 Other,5,85,90,Yanbye,MMR012013
 No toilet,872,16286,17158,Yanbye,MMR012013
 Total,2248,20170,22418,Yanbye,MMR012013
 Flush,7,141,148,An,MMR012014
 Water seal (Improved pit latrine),1609,8625,10234,An,MMR012014
 Pit (Traditional pit latrine),193,960,1153,An,MMR012014
 Bucket (Surface latrine),13,1369,1382,An,MMR012014
 Other,5,562,567,An,MMR012014
 No toilet,51,13824,13875,An,MMR012014
 Total,1878,25481,27359,An,MMR012014
 Flush,44,153,197,Thandwe,MMR012015
 Water seal (Improved pit latrine),3251,18297,21548,Thandwe,MMR012015
 Pit (Traditional pit latrine),9,785,794,Thandwe,MMR012015
 Bucket (Surface latrine),6,450,456,Thandwe,MMR012015
 Other,2,136,138,Thandwe,MMR012015
 No toilet,38,7904,7942,Thandwe,MMR012015
 Total,3350,27725,31075,Thandwe,MMR012015
 Flush,68,207,275,Toungup,MMR012016
 Water seal (Improved pit latrine),5591,7129,12720,Toungup,MMR012016
 Pit (Traditional pit latrine),146,905,1051,Toungup,MMR012016
 Bucket (Surface latrine),69,489,558,Toungup,MMR012016
 Other,41,60,101,Toungup,MMR012016
 No toilet,263,10271,10534,Toungup,MMR012016
 Total,6178,19061,25239,Toungup,MMR012016
 Flush,43,61,104,Gwa,MMR012017
 Water seal (Improved pit latrine),1797,4358,6155,Gwa,MMR012017
 Pit (Traditional pit latrine),40,189,229,Gwa,MMR012017
 Bucket (Surface latrine),67,301,368,Gwa,MMR012017
 Other,28,36,64,Gwa,MMR012017
 No toilet,513,3812,4325,Gwa,MMR012017
 Total,2488,8757,11245,Gwa,MMR012017
 Flush,13,22,35,Maei(ST),MMR012016
 Water seal (Improved pit latrine),660,2902,3562,Maei(ST),MMR012016
 Pit (Traditional pit latrine),24,96,120,Maei(ST),MMR012016
 Bucket (Surface latrine),61,171,232,Maei(ST),MMR012016
 Other,1,52,53,Maei(ST),MMR012016
 No toilet,456,5495,5951,Maei(ST),MMR012016
 Total,1215,8738,9953,Maei(ST),MMR012016
 Flush,27,12,39,Kyeintali(ST),MMR012017
 Water seal (Improved pit latrine),1356,2933,4289,Kyeintali(ST),MMR012017
 Pit (Traditional pit latrine),9,35,44,Kyeintali(ST),MMR012017
 Bucket (Surface latrine),3,17,20,Kyeintali(ST),MMR012017
 Other,-,7,7,Kyeintali(ST),MMR012017
 No toilet,80,1602,1682,Kyeintali(ST),MMR012017
 Total,1475,4606,6081,Kyeintali(ST),MMR012017
 Flush,3350,-,3350,Insein,MMR013001
 Water seal (Improved pit latrine),54590,-,54590,Insein,MMR013001
 Pit (Traditional pit latrine),933,-,933,Insein,MMR013001
 Bucket (Surface latrine),2217,-,2217,Insein,MMR013001
 Other,230,-,230,Insein,MMR013001
 No toilet,356,-,356,Insein,MMR013001
 Total,61676,-,61676,Insein,MMR013001
 Flush,1769,626,2395,Mingaladon,MMR013002
 Water seal (Improved pit latrine),39008,23524,62532,Mingaladon,MMR013002
 Pit (Traditional pit latrine),464,334,798,Mingaladon,MMR013002
 Bucket (Surface latrine),50,24,74,Mingaladon,MMR013002
 Other,79,28,107,Mingaladon,MMR013002
 No toilet,271,126,397,Mingaladon,MMR013002
 Total,41641,24662,66303,Mingaladon,MMR013002
 Flush,174,756,930,Hmawby,MMR013003
 Water seal (Improved pit latrine),5591,45427,51018,Hmawby,MMR013003
 Pit (Traditional pit latrine),102,1511,1613,Hmawby,MMR013003
 Bucket (Surface latrine),4,278,282,Hmawby,MMR013003
 Other,7,403,410,Hmawby,MMR013003
 No toilet,64,2152,2216,Hmawby,MMR013003
 Total,5942,50527,56469,Hmawby,MMR013003
 Flush,165,457,622,Hlegu,MMR013004
 Water seal (Improved pit latrine),8448,42269,50717,Hlegu,MMR013004
 Pit (Traditional pit latrine),24,1942,1966,Hlegu,MMR013004
 Bucket (Surface latrine),12,977,989,Hlegu,MMR013004
 Other,8,501,509,Hlegu,MMR013004
 No toilet,92,3128,3220,Hlegu,MMR013004
 Total,8749,49274,58023,Hlegu,MMR013004
 Flush,299,221,520,Taikkyi,MMR013005
 Water seal (Improved pit latrine),17561,38026,55587,Taikkyi,MMR013005
 Pit (Traditional pit latrine),1619,2298,3917,Taikkyi,MMR013005
 Bucket (Surface latrine),43,444,487,Taikkyi,MMR013005
 Other,251,245,496,Taikkyi,MMR013005
 No toilet,586,5406,5992,Taikkyi,MMR013005
 Total,20359,46640,66999,Taikkyi,MMR013005
 Flush,28,198,226,Htantabin,MMR013006
 Water seal (Improved pit latrine),1612,24796,26408,Htantabin,MMR013006
 Pit (Traditional pit latrine),309,3299,3608,Htantabin,MMR013006
 Bucket (Surface latrine),16,876,892,Htantabin,MMR013006
 Other,7,109,116,Htantabin,MMR013006
 No toilet,84,2877,2961,Htantabin,MMR013006
 Total,2056,32155,34211,Htantabin,MMR013006
 Flush,1268,102,1370,Shwepyitha,MMR013007
 Water seal (Improved pit latrine),53344,14325,67669,Shwepyitha,MMR013007
 Pit (Traditional pit latrine),2497,696,3193,Shwepyitha,MMR013007
 Bucket (Surface latrine),452,10,462,Shwepyitha,MMR013007
 Other,174,7,181,Shwepyitha,MMR013007
 No toilet,776,124,900,Shwepyitha,MMR013007
 Total,58511,15264,73775,Shwepyitha,MMR013007
 Flush,2063,462,2525,Hlinethaya,MMR013008
 Water seal (Improved pit latrine),98655,39000,137655,Hlinethaya,MMR013008
 Pit (Traditional pit latrine),1645,1542,3187,Hlinethaya,MMR013008
 Bucket (Surface latrine),431,714,1145,Hlinethaya,MMR013008
 Other,286,348,634,Hlinethaya,MMR013008
 No toilet,727,2838,3565,Hlinethaya,MMR013008
 Total,103807,44904,148711,Hlinethaya,MMR013008
 Flush,5796,-,5796,Thingangyun,MMR013009
 Water seal (Improved pit latrine),36523,-,36523,Thingangyun,MMR013009
 Pit (Traditional pit latrine),639,-,639,Thingangyun,MMR013009
 Bucket (Surface latrine),35,-,35,Thingangyun,MMR013009
 Other,88,-,88,Thingangyun,MMR013009
 No toilet,239,-,239,Thingangyun,MMR013009
 Total,43320,-,43320,Thingangyun,MMR013009
 Flush,5069,-,5069,Yankin,MMR013010
 Water seal (Improved pit latrine),9428,-,9428,Yankin,MMR013010
 Pit (Traditional pit latrine),35,-,35,Yankin,MMR013010
 Bucket (Surface latrine),12,-,12,Yankin,MMR013010
 Other,13,-,13,Yankin,MMR013010
 No toilet,80,-,80,Yankin,MMR013010
 Total,14637,-,14637,Yankin,MMR013010
 Flush,3279,-,3279,South Okkalapa,MMR013011
 Water seal (Improved pit latrine),28663,-,28663,South Okkalapa,MMR013011
 Pit (Traditional pit latrine),642,-,642,South Okkalapa,MMR013011
 Bucket (Surface latrine),56,-,56,South Okkalapa,MMR013011
 Other,12,-,12,South Okkalapa,MMR013011
 No toilet,73,-,73,South Okkalapa,MMR013011
 Total,32725,-,32725,South Okkalapa,MMR013011
 Flush,2789,-,2789,North Okkalapa,MMR013012
 Water seal (Improved pit latrine),59204,-,59204,North Okkalapa,MMR013012
 Pit (Traditional pit latrine),2152,-,2152,North Okkalapa,MMR013012
 Bucket (Surface latrine),319,-,319,North Okkalapa,MMR013012
 Other,25,-,25,North Okkalapa,MMR013012
 No toilet,267,-,267,North Okkalapa,MMR013012
 Total,64756,-,64756,North Okkalapa,MMR013012
 Flush,1810,-,1810,Thakayta,MMR013013
 Water seal (Improved pit latrine),41344,-,41344,Thakayta,MMR013013
 Pit (Traditional pit latrine),1686,-,1686,Thakayta,MMR013013
 Bucket (Surface latrine),386,-,386,Thakayta,MMR013013
 Other,28,-,28,Thakayta,MMR013013
 No toilet,202,-,202,Thakayta,MMR013013
 Total,45456,-,45456,Thakayta,MMR013013
 Flush,307,-,307,Dawbon,MMR013014
 Water seal (Improved pit latrine),13655,-,13655,Dawbon,MMR013014
 Pit (Traditional pit latrine),187,-,187,Dawbon,MMR013014
 Bucket (Surface latrine),152,-,152,Dawbon,MMR013014
 Other,72,-,72,Dawbon,MMR013014
 No toilet,36,-,36,Dawbon,MMR013014
 Total,14409,-,14409,Dawbon,MMR013014
 Flush,6140,-,6140,Tamway,MMR013015
 Water seal (Improved pit latrine),29127,-,29127,Tamway,MMR013015
 Pit (Traditional pit latrine),52,-,52,Tamway,MMR013015
 Bucket (Surface latrine),1,-,1,Tamway,MMR013015
 Other,17,-,17,Tamway,MMR013015
 No toilet,23,-,23,Tamway,MMR013015
 Total,35360,-,35360,Tamway,MMR013015
 Flush,3011,-,3011,Pazuntaung,MMR013016
 Water seal (Improved pit latrine),7260,-,7260,Pazuntaung,MMR013016
 Pit (Traditional pit latrine),12,-,12,Pazuntaung,MMR013016
 Other,4,-,4,Pazuntaung,MMR013016
 No toilet,19,-,19,Pazuntaung,MMR013016
 Total,10306,-,10306,Pazuntaung,MMR013016
 Flush,2427,-,2427,Botahtaung,MMR013017
 Water seal (Improved pit latrine),5932,-,5932,Botahtaung,MMR013017
 Pit (Traditional pit latrine),8,-,8,Botahtaung,MMR013017
 Other,2,-,2,Botahtaung,MMR013017
 No toilet,28,-,28,Botahtaung,MMR013017
 Total,8397,-,8397,Botahtaung,MMR013017
 Flush,1172,-,1172,Dagon Myothit(South),MMR013018
 Water seal (Improved pit latrine),72608,-,72608,Dagon Myothit(South),MMR013018
 Pit (Traditional pit latrine),2083,-,2083,Dagon Myothit(South),MMR013018
 Bucket (Surface latrine),138,-,138,Dagon Myothit(South),MMR013018
 Other,33,-,33,Dagon Myothit(South),MMR013018
 No toilet,950,-,950,Dagon Myothit(South),MMR013018
 Total,76984,-,76984,Dagon Myothit(South),MMR013018
 Flush,4807,-,4807,Dagon Myothit(North),MMR013019
 Water seal (Improved pit latrine),36584,-,36584,Dagon Myothit(North),MMR013019
 Pit (Traditional pit latrine),953,-,953,Dagon Myothit(North),MMR013019
 Bucket (Surface latrine),208,-,208,Dagon Myothit(North),MMR013019
 Other,41,-,41,Dagon Myothit(North),MMR013019
 No toilet,111,-,111,Dagon Myothit(North),MMR013019
 Total,42704,-,42704,Dagon Myothit(North),MMR013019
 Flush,879,47,926,Dagon Myothit(East),MMR013020
 Water seal (Improved pit latrine),29474,1612,31086,Dagon Myothit(East),MMR013020
 Pit (Traditional pit latrine),959,66,1025,Dagon Myothit(East),MMR013020
 Bucket (Surface latrine),83,183,266,Dagon Myothit(East),MMR013020
 Other,15,4,19,Dagon Myothit(East),MMR013020
 No toilet,485,106,591,Dagon Myothit(East),MMR013020
 Total,31895,2018,33913,Dagon Myothit(East),MMR013020
 Flush,457,32,489,Dagon Myothit(Seik),MMR013021
 Water seal (Improved pit latrine),31411,3231,34642,Dagon Myothit(Seik),MMR013021
 Pit (Traditional pit latrine),1057,100,1157,Dagon Myothit(Seik),MMR013021
 Bucket (Surface latrine),143,93,236,Dagon Myothit(Seik),MMR013021
 Other,88,7,95,Dagon Myothit(Seik),MMR013021
 No toilet,1016,270,1286,Dagon Myothit(Seik),MMR013021
 Total,34172,3733,37905,Dagon Myothit(Seik),MMR013021
 Flush,3402,-,3402,Mingala Taungnyunt,MMR013022
 Water seal (Improved pit latrine),21985,-,21985,Mingala Taungnyunt,MMR013022
 Pit (Traditional pit latrine),52,-,52,Mingala Taungnyunt,MMR013022
 Bucket (Surface latrine),60,-,60,Mingala Taungnyunt,MMR013022
 Other,176,-,176,Mingala Taungnyunt,MMR013022
 No toilet,243,-,243,Mingala Taungnyunt,MMR013022
 Total,25918,-,25918,Mingala Taungnyunt,MMR013022
 Flush,813,721,1534,Thanlyin,MMR013023
 Water seal (Improved pit latrine),17161,38551,55712,Thanlyin,MMR013023
 Pit (Traditional pit latrine),488,1030,1518,Thanlyin,MMR013023
 Bucket (Surface latrine),40,1503,1543,Thanlyin,MMR013023
 Other,17,161,178,Thanlyin,MMR013023
 No toilet,190,922,1112,Thanlyin,MMR013023
 Total,18709,42888,61597,Thanlyin,MMR013023
 Flush,136,40,176,Kyauktan,MMR013024
 Water seal (Improved pit latrine),8319,15247,23566,Kyauktan,MMR013024
 Pit (Traditional pit latrine),377,305,682,Kyauktan,MMR013024
 Bucket (Surface latrine),458,5810,6268,Kyauktan,MMR013024
 Other,45,27,72,Kyauktan,MMR013024
 No toilet,529,1683,2212,Kyauktan,MMR013024
 Total,9864,23112,32976,Kyauktan,MMR013024
 Flush,131,108,239,Thongwa,MMR013025
 Water seal (Improved pit latrine),5011,22280,27291,Thongwa,MMR013025
 Pit (Traditional pit latrine),342,479,821,Thongwa,MMR013025
 Bucket (Surface latrine),667,4755,5422,Thongwa,MMR013025
 Other,63,181,244,Thongwa,MMR013025
 No toilet,542,5528,6070,Thongwa,MMR013025
 Total,6756,33331,40087,Thongwa,MMR013025
 Flush,83,98,181,Khayan,MMR013026
 Water seal (Improved pit latrine),7478,29735,37213,Khayan,MMR013026
 Pit (Traditional pit latrine),46,132,178,Khayan,MMR013026
 Bucket (Surface latrine),32,210,242,Khayan,MMR013026
 Other,7,52,59,Khayan,MMR013026
 No toilet,232,1209,1441,Khayan,MMR013026
 Total,7878,31436,39314,Khayan,MMR013026
 Flush,132,256,388,Twantay,MMR013027
 Water seal (Improved pit latrine),7355,29942,37297,Twantay,MMR013027
 Pit (Traditional pit latrine),1277,3430,4707,Twantay,MMR013027
 Bucket (Surface latrine),153,4384,4537,Twantay,MMR013027
 Other,15,55,70,Twantay,MMR013027
 No toilet,265,4338,4603,Twantay,MMR013027
 Total,9197,42405,51602,Twantay,MMR013027
 Flush,3,114,117,Kawhmu,MMR013028
 Water seal (Improved pit latrine),1970,18677,20647,Kawhmu,MMR013028
 Pit (Traditional pit latrine),14,1379,1393,Kawhmu,MMR013028
 Bucket (Surface latrine),78,3239,3317,Kawhmu,MMR013028
 Other,2,281,283,Kawhmu,MMR013028
 No toilet,164,3871,4035,Kawhmu,MMR013028
 Total,2231,27561,29792,Kawhmu,MMR013028
 Flush,61,84,145,Kungyangon,MMR013029
 Water seal (Improved pit latrine),3655,20078,23733,Kungyangon,MMR013029
 Pit (Traditional pit latrine),25,133,158,Kungyangon,MMR013029
 Bucket (Surface latrine),50,603,653,Kungyangon,MMR013029
 Other,3,57,60,Kungyangon,MMR013029
 No toilet,164,3439,3603,Kungyangon,MMR013029
 Total,3958,24394,28352,Kungyangon,MMR013029
 Flush,115,107,222,Dala,MMR013030
 Water seal (Improved pit latrine),23039,8913,31952,Dala,MMR013030
 Pit (Traditional pit latrine),382,476,858,Dala,MMR013030
 Bucket (Surface latrine),476,1684,2160,Dala,MMR013030
 Other,31,68,99,Dala,MMR013030
 No toilet,1288,1333,2621,Dala,MMR013030
 Total,25331,12581,37912,Dala,MMR013030
 Flush,3,-,3,Cocogyun,MMR013032
 Water seal (Improved pit latrine),322,-,322,Cocogyun,MMR013032
 No toilet,26,-,26,Cocogyun,MMR013032
 Total,351,-,351,Cocogyun,MMR013032
 Flush,57,14,71,Tada(ST),MMR013024
 Water seal (Improved pit latrine),1478,2170,3648,Tada(ST),MMR013024
 Pit (Traditional pit latrine),220,438,658,Tada(ST),MMR013024
 Bucket (Surface latrine),573,3279,3852,Tada(ST),MMR013024
 Other,6,86,92,Tada(ST),MMR013024
 No toilet,156,1016,1172,Tada(ST),MMR013024
 Total,2490,7003,9493,Tada(ST),MMR013024
 Flush,1979,-,1979,Kyauktada,MMR013033
 Water seal (Improved pit latrine),4130,-,4130,Kyauktada,MMR013033
 Pit (Traditional pit latrine),7,-,7,Kyauktada,MMR013033
 Other,2,-,2,Kyauktada,MMR013033
 No toilet,2,-,2,Kyauktada,MMR013033
 Total,6120,-,6120,Kyauktada,MMR013033
 Flush,1848,-,1848,Pabedan,MMR013034
 Water seal (Improved pit latrine),4704,-,4704,Pabedan,MMR013034
 Pit (Traditional pit latrine),7,-,7,Pabedan,MMR013034
 Other,2,-,2,Pabedan,MMR013034
 No toilet,2,-,2,Pabedan,MMR013034
 Total,6563,-,6563,Pabedan,MMR013034
 Flush,2940,-,2940,Lanmadaw,MMR013035
 Water seal (Improved pit latrine),5620,-,5620,Lanmadaw,MMR013035
 Pit (Traditional pit latrine),8,-,8,Lanmadaw,MMR013035
 Other,3,-,3,Lanmadaw,MMR013035
 No toilet,28,-,28,Lanmadaw,MMR013035
 Total,8599,-,8599,Lanmadaw,MMR013035
 Flush,1651,-,1651,Latha,MMR013036
 Water seal (Improved pit latrine),2821,-,2821,Latha,MMR013036
 Pit (Traditional pit latrine),1,-,1,Latha,MMR013036
 Total,4473,-,4473,Latha,MMR013036
 Flush,2802,-,2802,Ahlon,MMR013037
 Water seal (Improved pit latrine),7880,-,7880,Ahlon,MMR013037
 Pit (Traditional pit latrine),10,-,10,Ahlon,MMR013037
 Bucket (Surface latrine),173,-,173,Ahlon,MMR013037
 Other,30,-,30,Ahlon,MMR013037
 No toilet,48,-,48,Ahlon,MMR013037
 Total,10943,-,10943,Ahlon,MMR013037
 Flush,2164,-,2164,Kyimyindine,MMR013038
 Water seal (Improved pit latrine),15167,-,15167,Kyimyindine,MMR013038
 Pit (Traditional pit latrine),395,-,395,Kyimyindine,MMR013038
 Bucket (Surface latrine),5007,-,5007,Kyimyindine,MMR013038
 Other,67,-,67,Kyimyindine,MMR013038
